thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6Qf31V	rs482-tracker-evidence-identity	unbadged	r300-docs	rs482-tracker-evidence-identity	The Hybrid-TCL tracker binds completed work to named mechanisms and evidence artifacts rather than a PR range	closed	Inspect the tracker provenance cells for stable mechanism and artifact identities	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A tracker row uses a PR range as the only durable completion witness	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf8yR	rs482-mechanism-evidence-provenance	P1	r300-docs	rs482-mechanism-evidence-provenance	Hybrid-TCL provenance names mechanism-bearing source and retained evidence that survive copied documentation and squashed review history	closed	Verify that the reviewed provenance rows stand alone without fork-local review chronology	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Removing access to private PR metadata makes a current Hybrid-TCL claim unverifiable	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf8yY	rs482-clear-quad-residual-identity-retirement	P2	r300-docs	rs482-clear-quad-residual-identity-retirement	The undefined HBTCL-02C label is absent; the current tracker expresses residual clear-quad work through named mechanisms and evidence gates	closed	Search the current tracker for HBTCL-02C and inspect the mechanism-named residual rows that replaced it	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	HBTCL-02C returns without a self-contained definition or the replacement residual lacks an executable evidence gate	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf8yb	rs482-pvs-port-window-read-boundary	P2	r300-docs	rs482-pvs-port-window-read-boundary	The design separates the confirmed 0x2200-0x22dc PVS and SE_TCL read wedge from the distinct active-3D 0x4000-and-above black-hole condition	closed	Inspect the read-hazard rules and require each offset range to retain its own precondition and stop line	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The design treats every offset at or above 0x2200 as one unconditional read hazard	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Qf8yh	rs482-perspective-divide-owner	P2	r300-docs	rs482-perspective-divide-owner	The coordinate contract assigns the perspective divide consistently to fragment ALU or VTE and bounds CPU work to the fallback path	closed	Compare the coordinate contract, stage summary, and tracker owner for the divide	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current design prose assigns the same active divide to both the CPU and fragment-ALU or VTE paths	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-J57	r2vb-planner-backend-verdict-schema-retirement	unbadged	r300-docs	r2vb-planner-backend-verdict-schema-retirement	The reviewed draft schema no longer governs the implementation; current producer planning separates primary reason, observed reason mask, action, and typed-source evidence	closed	Compare the current planner fields and design vocabulary with the retired OVER_ALU_BUDGET draft wording	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current prose again conflates a backend admission verdict with the planner reason field	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-LLU	r2vb-constant-load-structural-scan	P2	r300-docs	r2vb-constant-load-structural-scan	The structural floor explicitly includes push-constant and constant-data loads alongside uniform and UBO loads	closed	Inspect the documented intrinsic allowlist against the production classifier	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A producer accepted by the production classifier is rejected by the documented pre-lowering scan solely because it loads push or constant data	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-LLW	r2vb-typed-split-durable-evidence-identity	P1	r300-docs	r2vb-typed-split-durable-evidence-identity	The typed-split design cites the host oracle and retained mechanism-bearing evidence instead of repository-local PR numbers	closed	Inspect typed-split and silicon-result citations for durable artifact identities	offline-source-history	docs/hardware/rs482-hybrid-vertex-tcl-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Typed-split reachability or silicon evidence depends on a PR number with no named source or retained artifact	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-fxj	r2vb-f3-r0-durable-evidence-identity	P1	r300-docs	r2vb-f3-r0-durable-evidence-identity	The F3-R0 result names its retained finding or host-oracle evidence rather than stein PR chronology	closed	Inspect the F3-R0 evidence citation for a mechanism-bearing retained identity	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The F3-R0 route claim is supported only by a sibling-repository PR number	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-fxm	r2vb-planned-typed-gate-calibration-retirement	P2	r300-docs	r2vb-planned-typed-gate-calibration-retirement	The proposed T0-T9 gate table is no longer the live route oracle; current exact-value gating and registered tests own admission calibration	closed	Confirm that the retired planned gate table is not presented as the executable hardware-changing oracle	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A planned gate table becomes authoritative without unset, empty, and zero-valued refusal controls	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Q-fxn	r2vb-carry-input-cap-contract-retirement	P2	r300-docs	r2vb-carry-input-cap-contract-retirement	The reviewed provisional input-cap rule was replaced by the current planner and typed-source admission contract with executable source-identity limits	closed	Inspect current split planning and oracle coverage at the maximum position-input boundary	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current split planning admits a carry when pass B exceeds R300_R2VB_MAX_PRODUCER_INPUTS without a deterministic decline	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RkL2W	r2vb-source-domain-value-kind-separation	P2	r300-docs	r2vb-source-domain-value-kind-separation	The source-domain contract separates float classes from integer and Boolean provenance and refuses unsupported value kinds instead of interpreting their bits as FP classes	closed	Trace each admitted witness kind to the matching float-class or integer-range authority	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A b2i-derived or other non-float value can satisfy the float-integrality predicate through bit reinterpretation	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RkL2a	r2vb-boolean-fragment-lowering-floor-retirement	P2	r300-docs	r2vb-boolean-fragment-lowering-floor-retirement	The draft Boolean FP-class floor was replaced by a provenance contract that accounts for the fragment-stage fcsel_ge lowering shape	closed	Inspect Boolean witness derivation after the restaged shader becomes fragment NIR	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current admission claims nir_analyze_fp_class proves the lowered fcsel_ge Boolean shape without an explicit provenance rule	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RkL2b	r2vb-float-conversion-source-proof-retirement	P2	r300-docs	r2vb-float-conversion-source-proof-retirement	The executable source-domain floor excludes unproved float-to-integer conversion chains, replacing the reviewed post-conversion-only test	closed	Inspect conversion provenance and require any admitted f2i or f2u chain to prove the original float operand or decline	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A bounded transport integer is admitted while its original float conversion source can diverge between FP24 and FP32 paths	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RkL2f	r2vb-system-value-admission-boundary	P2	r300-docs	r2vb-system-value-admission-boundary	The documented proved floor keeps unsupported system-value intrinsics outside admission and preserves the planner oracle rejection	closed	Compare the source-domain floor with the planner intrinsic allowlist and load_vertex_id rejection oracle	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Documentation presents a system-value class as proved while the current planner rejects its intrinsic or synthetic source shape	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Rk3HA	r2vb-integer-operation-proof-floor-retirement	unbadged	r300-docs	r2vb-integer-operation-proof-floor-retirement	The generic bounded integer-ALU claim was replaced by a closed operation-level provenance contract; unsupported operations decline	closed	Inspect the integer witness rules for an explicit operation identity requirement in addition to range bounds	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An unmodeled integer operation is admitted solely because every intermediate fits the FP24 exact-integer magnitude window	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnC3V	r2vb-integer-compare-witness-domain	P2	r300-docs	r2vb-integer-compare-witness-domain	Integer compare operands use integer range and provenance facts, while NaN and infinity class checks remain confined to float comparisons	closed	Inspect compare witness derivation for type-correct authority selection	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An integer compare operand is classified by reinterpreting its bits through nir_analyze_fp_class	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnC3W	r2vb-transparent-ssa-witness-forwarding	P2	r300-docs	r2vb-transparent-ssa-witness-forwarding	The witness contract forwards proved identity through transparent mov, vector construction, and select glue without widening the proof	closed	Inspect the closed witness rules for transparent SSA forwarding and unsupported-operation decline	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Transparent SSA glue discards an otherwise valid witness or an identity-changing operation passes as transparent	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnC3X	r2vb-rtz-threshold-discriminator	P2	r300-docs	r2vb-rtz-threshold-discriminator	The RTZ counterexample uses a sequence that can cross an integer-conversion threshold under the modeled FP24 truncation rule	closed	Recompute the documented discriminator under R300_NUM_DOMAIN_FP24_RTZ and compare both paths	offline-source-history	docs/hardware/rs482-producer-alu-compaction-design.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The retained calibration relies on a positive value below 2.0 rounding upward under round-toward-zero	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS3	r2vb-planned-typed-gate-documentation-retirement	P2	r300-docs	r2vb-planned-typed-gate-documentation-retirement	The evidence architecture distinguishes planned typed admission from the live R300_R2VB_BUDGET_ESCAPE=spill1 route and its exact-value gate	closed	Search source and evidence documentation for the active environment gate and its scope	offline-source-history	docs/hardware/rs482-r2vb-producer-plan-evidence-architecture.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Documentation presents R300_R2VB_TYPED_SPLIT as the live route while source consumes only a different gate	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS4	r2vb-census-phase-token-contract	P2	r300-docs	r2vb-census-phase-token-contract	The evidence map names the emitted selected-pass-a and selected-pass-b census phase tokens	closed	Compare the documented transcript tokens with r3v_r2vb_producer_census output literals	offline-source-history	docs/hardware/rs482-r2vb-producer-plan-evidence-architecture.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Downstream evidence guidance names pass-a or pass-b tokens that the census never emits	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS5	r2vb-force-split-shadow-check	P2	r300	r2vb-force-split-shadow-check	The under-budget force-split memo decision executes its own shadow comparison, and child-process oracle rows cover matching and deliberate-divergence cases	closed	Trace the force-split return path through the memo writer and shadow checker under fresh gate caches	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c;src/gallium/drivers/r300/tests/r300_r2vb_plan_oracle_test.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A force-split admission memo can return without incrementally checking its SINGLE-plan shadow precondition	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS6	r2vb-identity-test-registration-claim	P2	r300-docs	r2vb-identity-test-registration-claim	The evidence architecture names only identity calibration that exists and is registered in the current Meson test surface	closed	Resolve each identity-test name from the evidence map to a tracked source and Meson registration	offline-source-history	docs/hardware/rs482-r2vb-producer-plan-evidence-architecture.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A branch-only or absent identity test is counted as reproducible main-branch evidence	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS9	r2vb-oracle-check-coverage-accounting	P2	r300-docs	r2vb-oracle-check-coverage-accounting	The evidence map reports the source-derived CHECK count and explicitly lists planner reason classes the oracle does not cover	closed	Recount CHECK sites and reason-token coverage in the registered planner oracle against the documentation	offline-source-history	docs/hardware/rs482-r2vb-producer-plan-evidence-architecture.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The evidence map overstates the current CHECK count or claims per-reason coverage while named reason classes remain absent	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6RnHS_	r2vb-fp24-proof-status-boundary	P2	r300-docs	r2vb-fp24-proof-status-boundary	The evidence architecture separates the landed FP24 magnitude theorem from the still-open backend accumulation-order obligation	closed	Trace each FP24 statement to its proved artifact or explicit pending prerequisite	offline-source-history	docs/hardware/rs482-r2vb-producer-plan-evidence-architecture.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A pending accumulation-order or exact-bound proof is represented as banked evidence	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SJFXv	uploader-test-copyright-policy-retirement	P1	governance	uploader-test-copyright-policy-retirement	Current new-file policy requires the SPDX grant and permits copyright lines only for verified legal holders, superseding the reviewed blanket-header requirement	closed	Inspect the new-file header policy and verify the test retains its SPDX grant without invented attribution	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Repository policy again requires an unverified or invented copyright holder on every new source file	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SJFXx	uploader-map-failure-oracle-rewrite	P2	util	uploader-map-failure-oracle-rewrite	The original dangling-buffer oracle was replaced by transactional upload rotation and a retained destroyed-record harness that detects duplicate release without allocator luck	closed	Inspect replacement-map failure, retry, destroyed-record retention, and duplicate-release verdict paths	offline-source-history	src/gallium/auxiliary/util/tests/u_upload_mgr_test.c;src/gallium/auxiliary/util/u_upload_mgr.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A stale upload buffer can be released twice or the non-ASan oracle depends on touching freed allocator storage to detect it	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SKFQo	r2vb-output-resource-rebind-ownership	P2	r300	r2vb-output-resource-rebind-ownership	Validation retains the raw output resource in the transaction, and staging plus the producer prologue consume that owned BO independently of later framebuffer rebinds	closed	Validate an output resource, rebind a dirty framebuffer, and require the staged relocation to remain the retained output BO	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A framebuffer rebind after validation changes the BO consumed by staging or the producer output prologue	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SKFQr	r2vb-output-buffer-extent-validation	P2	r300	r2vb-output-buffer-extent-validation	The producer target is a level-free FP32x4 PIPE_BUFFER with GTT backing and a byte width covering the complete storage footprint	closed	Exercise non-buffer, leveled, malformed, undersized, wrong-format, and wrong-domain output candidates	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A surface-view mip or base-resource dimension can authorize writes beyond the actual producer target extent	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SKo_m	r2vb-validation-retry-cs-reservation	P2	r300	r2vb-validation-retry-cs-reservation	After cs_validate flushes and rearms atoms, staging repeats command-stream reservation before rebuilding the buffer list and retrying validation	closed	Force validation failure with dirty-dword growth and require a second capacity reservation before emission	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A validation-triggered flush can enlarge dirty state without a replacement command-stream capacity check	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SKweM	r2vb-caller-command-stream-preservation	P2	r300	r2vb-caller-command-stream-preservation	The flush-injected no-submit capture helper is retired; producer_capture3 runs at the real draw call site without resetting the caller command stream	closed	Trace capture entry points and confirm no helper consumes a pending caller CS through RADEON_FLUSH_NOOP	offline-source-history	src/gallium/drivers/r300/r300_flush.c;src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An enabled capture path can reset or discard a caller command stream before normal submission	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SKweQ	r2vb-capture-framebuffer-surface-consistency	P2	r300	r2vb-capture-framebuffer-surface-consistency	The active producer capture path uses owned output state and no longer swaps a synthetic framebuffer into dirty atom validation	closed	Inspect capture staging for synthetic framebuffer substitution and cross-check output-domain authority	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Capture validation can pair one framebuffer texture with a missing or stale fb_cbufs surface and domain	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6SK5OQ	r2vb-reserve-flush-dirty-atom-rebudget	P2	r300	r2vb-reserve-flush-dirty-atom-rebudget	Producer staging reserves again after any reserve-triggered or validation-triggered flush so rearmed dirty atoms enter the replacement CS budget	closed	Force a nearly full command stream and require post-flush atom growth to be included before buffer-list reconstruction	offline-source-history	src/gallium/drivers/r300/r300_r2vb.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A reserve-triggered flush rearms atoms that emission neither re-masks safely nor includes in a replacement capacity calculation	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Ta-dF	r3v-native-image-single-footprint	P2	r3v	r3v-native-image-single-footprint	The deleted Gallium-backed image lane no longer defines split resources; native images own one object, one footprint, and one checked bound-memory span	closed	Trace native image creation, memory requirements, binding, and transfer footprint without the retired tile-resource path	offline-source-history	src/amd/r300/vulkan/r3v_native_image.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current native image creation spatially splits a linear image while documentation or binding logic assumes one footprint	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6Ta-dG	spdx-only-document-header-policy	P1	governance	spdx-only-document-header-policy	Current policy equips new files with their SPDX license grant and retains copyright only for a verified legal holder, superseding the requested invented project header	closed	Inspect the authoritative new-file and copyright rules against the reviewed document header request	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A new document is required to invent a project or contributor copyright line to satisfy repository policy	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6TtjCM	rs482-loaded-libgallium-identity	P1	rs482-evidence	rs482-loaded-libgallium-identity	The v2 manifest requires libgallium_path, hash, build identity, and provenance derived from the Mesa artifact loaded by Xorg	closed	Validate source-to-payload-v2 manifests with missing, stale, and complete loaded-Mesa identities	offline-source-history	docs/hardware/rs482-stack-manifest.schema.json	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A v2 evidence manifest validates while the Xorg-loaded Mesa module path or payload identity is absent	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6TtjCO	rs482-radeon-ddx-conditional-identity	P2	rs482-evidence	rs482-radeon-ddx-conditional-identity	When active_ddx is radeon, the v2 schema conditionally requires package and provenance data plus the loaded DDX module identity	closed	Run the Radeon-DDX positive fixture and mutations that remove package, provenance, or loaded-module identity	offline-source-history	docs/hardware/rs482-stack-manifest.schema.json	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Two distinct Radeon DDX payloads can produce equally valid v2 manifests without distinguishing loaded-module evidence	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6TtjCR	rs482-evidence-repository-authority	P1	governance	rs482-evidence-repository-authority	Current canonical policy assigns RS482 retained manifests, bundles, runners, and host kits to steinmarder-r300, superseding the review's older steinmarder destination	closed	Compare the root workspace ownership rule with the source-authority document's manifest destination	offline-source-history	AGENTS.md;docs/hardware/rs482-source-authority.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Current policy assigns one RS482 evidence artifact to two canonical sibling repositories	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
PRRT_kwDOR3YK5M6TtjCT	spdx-only-json-document-header-policy	P1	governance	spdx-only-json-document-header-policy	Current SPDX-only new-file policy supersedes the request to add unverified copyright text or JSON $comment attribution	closed	Inspect the authoritative header policy for Markdown and JSON artifacts introduced without a verified legal holder	offline-source-history	AGENTS.md	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Repository policy requires invented copyright attribution in Markdown or JSON Schema files	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623
