thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6RnC3V	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:45Z	2026-08-27T01:12:05Z	r2vb-integer-compare-witness-domain
PRRT_kwDOR3YK5M6RnC3W	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:46Z	2026-08-27T01:12:05Z	r2vb-transparent-ssa-witness-forwarding
PRRT_kwDOR3YK5M6RnC3X	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:47Z	2026-08-27T01:12:05Z	r2vb-rtz-threshold-discriminator
PRRT_kwDOR3YK5M6RnHS3	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:48Z	2026-08-27T01:12:05Z	r2vb-planned-typed-gate-documentation-retirement
PRRT_kwDOR3YK5M6RnHS4	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:49Z	2026-08-27T01:12:05Z	r2vb-census-phase-token-contract
PRRT_kwDOR3YK5M6RnHS5	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:49Z	2026-08-27T01:12:05Z	r2vb-force-split-shadow-check
PRRT_kwDOR3YK5M6RnHS6	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:50Z	2026-08-27T01:12:05Z	r2vb-identity-test-registration-claim
PRRT_kwDOR3YK5M6RnHS9	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:51Z	2026-08-27T01:12:05Z	r2vb-oracle-check-coverage-accounting
PRRT_kwDOR3YK5M6RnHS_	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:52Z	2026-08-27T01:12:05Z	r2vb-fp24-proof-status-boundary
PRRT_kwDOR3YK5M6SJFXv	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:53Z	2026-08-27T01:12:05Z	uploader-test-copyright-policy-retirement
PRRT_kwDOR3YK5M6SJFXx	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:53Z	2026-08-27T01:12:05Z	uploader-map-failure-oracle-rewrite
PRRT_kwDOR3YK5M6SKFQo	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:54Z	2026-08-27T01:12:05Z	r2vb-output-resource-rebind-ownership
PRRT_kwDOR3YK5M6SKFQr	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:55Z	2026-08-27T01:12:05Z	r2vb-output-buffer-extent-validation
PRRT_kwDOR3YK5M6SKo_m	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:56Z	2026-08-27T01:12:05Z	r2vb-validation-retry-cs-reservation
PRRT_kwDOR3YK5M6SKweM	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:57Z	2026-08-27T01:12:05Z	r2vb-caller-command-stream-preservation
PRRT_kwDOR3YK5M6SKweQ	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:58Z	2026-08-27T01:12:05Z	r2vb-capture-framebuffer-surface-consistency
PRRT_kwDOR3YK5M6SK5OQ	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:59Z	2026-08-27T01:12:05Z	r2vb-reserve-flush-dirty-atom-rebudget
PRRT_kwDOR3YK5M6Ta-dF	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:11:59Z	2026-08-27T01:12:05Z	r3v-native-image-single-footprint
PRRT_kwDOR3YK5M6Ta-dG	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:00Z	2026-08-27T01:12:05Z	spdx-only-document-header-policy
PRRT_kwDOR3YK5M6TtjCM	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:01Z	2026-08-27T01:12:05Z	rs482-loaded-libgallium-identity
PRRT_kwDOR3YK5M6TtjCO	fixed	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:02Z	2026-08-27T01:12:05Z	rs482-radeon-ddx-conditional-identity
PRRT_kwDOR3YK5M6TtjCR	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:03Z	2026-08-27T01:12:05Z	rs482-evidence-repository-authority
PRRT_kwDOR3YK5M6TtjCT	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:04Z	2026-08-27T01:12:05Z	spdx-only-json-document-header-policy
PRRT_kwDOR3YK5M6TvpLc	superseded	e3cc1217ce4b664a3d23e0441cb0e84e4a03b623	1895	2026-08-27T01:10:24Z	2026-08-27T01:12:04Z	2026-08-27T01:12:05Z	new-source-spdx-verified-holder-policy
