thread_id	frontier_id	priority	domain	mechanism	current_evidence	completion_state	required_observation	execution_class	canonical_data_target	completion_gate	falsification_condition	disposition	merged_evidence_commit
PRRT_kwDOR3YK5M6DkeFg	terakan-cube-dim-exact-env-gate-DkeFg	P2	terakan-image	terakan-cube-dim-exact-env-gate	terakan_image.c uses terakan_env_gate_enabled so only the exact string 1 enables DIM rewriting	closed	Run the env-gate matrix or inspect the shared exact-value helper at the DIM rewrite call	offline-build-test	src/amd/terascale/vulkan/terakan_image.c;src/amd/terascale/vulkan/terakan_env.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Unset, empty, zero, or any non-1 value enables DIM rewriting	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkeFk	terakan-cube-coordinate-exact-env-gate-DkeFk	P2	terakan-image	terakan-cube-coordinate-exact-env-gate	terakan_shader.c uses terakan_env_gate_enabled so only the exact string 1 enables coordinate normalization	closed	Run the env-gate matrix or inspect the shared exact-value helper at the coordinate pass call	offline-build-test	src/amd/terascale/vulkan/terakan_shader.c;src/amd/terascale/vulkan/terakan_env.h	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Unset, empty, zero, or any non-1 value enables coordinate normalization	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkuVf	terakan-cube-family-classification-DkuVf	unbadged	terakan-image	terakan-cube-family-classification	terakan_image.c classifies Cypress, Juniper, Redwood, and Cedar as Evergreen and Cayman as Northern Islands	closed	Compare the cube-gather comment family names with amd_family.h generation boundaries	offline-source-history	src/amd/terascale/vulkan/terakan_image.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment places Cayman in the Evergreen family or conflates the generation boundary	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DkuWS	terakan-cube-comment-code-path-scope-DkuWS	unbadged	terakan-image	terakan-cube-comment-code-path-scope	terakan_image.c states that Palm is the target validated for this code path	closed	Require the source comment to name the exact validated mechanism without workflow jargon	offline-source-history	src/amd/terascale/vulkan/terakan_image.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment uses an undefined workflow lane or obscures the tested code path	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DoCI6	terakan-env-gate-newline-matrix-DoCI6	unbadged	terakan-env	terakan-env-gate-newline-matrix	terakan_env.h documents a literal newline rejection and the unit runner executes that exact case	closed	Compare all documented acceptance rows with invocations in run_terakan_env_gate_unit.sh	offline-build-test	src/amd/terascale/vulkan/terakan_env.h;src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Any documented env-gate value lacks a matching executed case or has a different expected result	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DoCJO	terakan-env-gate-eval-removal-DoCJO	unbadged	terakan-env	terakan-env-gate-eval-removal	The env-gate runner invokes the driver directly with explicit set and unset paths and contains no eval	closed	Inspect the runner command path and execute all matrix cases	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The runner constructs executable shell code or masks a matrix failure through eval	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DoCJX	terakan-env-gate-c11-werror-DoCJX	unbadged	terakan-env	terakan-env-gate-c11-werror	The env-gate driver compiles with C11, Wall, Wextra, and Werror	closed	Inspect or execute the compile command and require warning-fatal C11 semantics	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The unit driver uses an implicit pre-C99 default or accepts compiler warnings	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DoCJp	terakan-env-gate-portable-mktemp-DoCJp	unbadged	terakan-env	terakan-env-gate-portable-mktemp	The runner creates a private temporary directory with a trailing-X template and fixed child names	closed	Run the temp-path setup against GNU and BSD-compatible mktemp semantics	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The runner requires GNU --suffix or writes outside a private temporary directory	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DpOZU	terakan-env-gate-trailing-x-template-DpOZU	P2	terakan-env	terakan-env-gate-trailing-x-template	The runner uses mktemp -d with terakan_env_gate.XXXXXX and writes drv.c inside the directory	closed	Inspect the template and require its X run to terminate the mktemp argument	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A mktemp template has a suffix after its replacement X run	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DpOdi	terakan-env-gate-trailing-x-template-DpOdi	unbadged	terakan-env	terakan-env-gate-trailing-x-template	The runner uses mktemp -d with terakan_env_gate.XXXXXX and writes drv.c inside the directory	closed	Inspect the template and require its X run to terminate the mktemp argument	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A mktemp template has a suffix after its replacement X run	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Dpwp0	terakan-env-gate-mktemp-failure-Dpwp0	P2	terakan-env	terakan-env-gate-mktemp-failure	The runner exits immediately when mktemp fails or returns an invalid directory before composing child paths	closed	Force temporary-directory failure and require exit before any root-relative path is formed	offline-build-test	src/amd/terascale/vulkan/tests/run_terakan_env_gate_unit.sh	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A failed or empty mktemp result can produce /drv.c or /drv.bin	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DrV4G	terakan-dump-platform-portability-DrV4G	P1	terakan-debug	terakan-dump-platform-portability	Descriptor and PM4 dump sources contain Windows and POSIX abstractions and compile unconditionally from meson.build	closed	Inspect platform include and file-opening branches for every enabled Terakan platform	offline-source-history	src/amd/terascale/vulkan/meson.build;src/amd/terascale/vulkan/terakan_descriptor_dump.c;src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An enabled platform reaches an unavailable Linux-only API or header	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DrZxC	terakan-pm4-dump-prototype-DrZxC	P2	terakan-debug	terakan-pm4-dump-prototype	terakan_queue_drm_radeon.c includes terakan_pm4_ib_dump.h before invoking the submission dumper	closed	Compile or inspect the queue translation unit for the exact prototype include	offline-source-history	src/amd/terascale/vulkan/winsys/drm_radeon/terakan_queue_drm_radeon.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The call lacks a visible compatible prototype or acquires an implicit declaration	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6DrawR	terakan-dump-source-list-DrawR	unbadged	terakan-debug	terakan-dump-source-list	meson.build lists terakan_descriptor_dump.c and terakan_pm4_ib_dump.c with their matching headers	closed	Resolve every dump source entry to a tracked implementation and matching declaration	offline-source-history	src/amd/terascale/vulkan/meson.build	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The build graph names a missing dump source or omits an implementation	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Drawd	terakan-pm4-dump-prototype-Drawd	unbadged	terakan-debug	terakan-pm4-dump-prototype	terakan_queue_drm_radeon.c includes terakan_pm4_ib_dump.h before invoking the submission dumper	closed	Compile or inspect the queue translation unit for the exact prototype include	offline-source-history	src/amd/terascale/vulkan/winsys/drm_radeon/terakan_queue_drm_radeon.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The call lacks a visible compatible prototype or acquires an implicit declaration	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Draws	terakan-pm4-output-path-comment-Draws	unbadged	terakan-debug	terakan-pm4-output-path-comment	The queue comment names terakan_pm4_ib_pid.jsonl in the process temporary directory	closed	Compare the operator-facing queue comment with the PM4 dump path constructor	offline-source-history	src/amd/terascale/vulkan/winsys/drm_radeon/terakan_queue_drm_radeon.c;src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment names a different directory or basename from the implementation	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Draxq	terakan-pm4-cloexec-append-Draxq	unbadged	terakan-debug	terakan-pm4-cloexec-append	terakan_pm4_ib_dump.c uses open with append and CLOEXEC then fdopen instead of nonstandard fopen modes	closed	Inspect Windows and POSIX append helpers for close-on-exec and descriptor ownership	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The dump relies on fopen mode e or leaks the descriptor across exec	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Ds5Bx	build-profile-pair-install-order-Ds5Bx	unbadged	build-infra	build-profile-pair-install-order	Canonical profile consolidation removed the reviewed release-debug pair target and its partial-install contract	closed	Confirm the reviewed target is absent and current release and debug profiles own independent build and install transactions	offline-source-history	build-infra/configs/alternates/5_terakan_norusticl_release_x86_64v1-clang22-distcc-cache.meson;build-infra/configs/alternates/6_terakan_norusticl_debug_x86_64v1-clang22-distcc-cache.meson	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The removed pair target returns or a current pair target installs one variant before the other builds	superseded	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6Ds5yq	build-profile-pair-phony-coverage-Ds5yq	unbadged	build-infra	build-profile-pair-phony-coverage	Canonical profile consolidation removed both reviewed target names and their PHONY inventory obligation	closed	Confirm both reviewed targets are absent while current release and debug profile owners remain independently named	offline-source-history	build-infra/configs/alternates/5_terakan_norusticl_release_x86_64v1-clang22-distcc-cache.meson;build-infra/configs/alternates/6_terakan_norusticl_debug_x86_64v1-clang22-distcc-cache.meson	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Either removed target returns without PHONY coverage or a replacement target repeats the defect	superseded	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D0p1h	terakan-descriptor-freebsd-thread-id-D0p1h	unbadged	terakan-debug	terakan-descriptor-freebsd-thread-id	terakan_descriptor_dump.c passes a long pointer to SYS_thr_self and checks the error return	closed	Inspect the FreeBSD ABI call shape and require a valid out-parameter before emitting tid	offline-source-history	src/amd/terascale/vulkan/terakan_descriptor_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The FreeBSD branch treats the syscall return value as the thread ID or omits the output pointer	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D0tN4	terakan-descriptor-windows-binary-stream-D0tN4	unbadged	terakan-debug	terakan-descriptor-windows-binary-stream	terakan_descriptor_dump.c pairs _O_BINARY with _fdopen binary append mode	closed	Inspect the Windows descriptor and stream modes for byte-stable JSONL output	offline-source-history	src/amd/terascale/vulkan/terakan_descriptor_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The Windows stream re-enables text translation after a binary descriptor open	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D0uzb	terakan-descriptor-freebsd-thread-id-D0uzb	P2	terakan-debug	terakan-descriptor-freebsd-thread-id	terakan_descriptor_dump.c passes a long pointer to SYS_thr_self and checks the error return	closed	Inspect the FreeBSD ABI call shape and require a valid out-parameter before emitting tid	offline-source-history	src/amd/terascale/vulkan/terakan_descriptor_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The FreeBSD branch treats the syscall return value as the thread ID or omits the output pointer	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D1Ff2	terakan-pm4-generic-thread-id-D1Ff2	unbadged	terakan-debug	terakan-pm4-generic-thread-id	terakan_pm4_ib_dump.c derives a stable nonzero key from pthread_self on generic POSIX platforms	closed	Trace every platform branch and require per-thread differentiation outside named native APIs	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	An supported fallback platform emits tid zero for every thread	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D1Ffx	terakan-pm4-freebsd-thread-id-D1Ffx	unbadged	terakan-debug	terakan-pm4-freebsd-thread-id	terakan_pm4_ib_dump.c uses pthread_getthreadid_np when available and a pthread-derived fallback otherwise	closed	Inspect FreeBSD feature guards and require a supported API or stable POSIX fallback	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The FreeBSD build reaches an unsupported SYS_thr_self signature or invalid ID path	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D1H67	terakan-pm4-disabled-path-cost-comment-D1H67	unbadged	terakan-debug	terakan-pm4-disabled-path-cost-comment	The PM4 dump header comment accounts for call_once, the cached load, and the false branch	closed	Compare the disabled-path prose with terakan_pm4_ib_dump_active and C11 once semantics	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The comment again claims a cheaper fast path than the code executes	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D6g3F	sfn-kcache-reservation-rollback-D6g3F	unbadged	r600-sfn	sfn-kcache-reservation-rollback	sfn_scheduler.cpp snapshots KCACHE state and rolls it back on every post-reservation rejection path	closed	Trace each try_reserve_kcache success to schedule acceptance or kcache_rollback	offline-source-history	src/gallium/drivers/r600/sfn/sfn_scheduler.cpp	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	Any rejected group leaves a speculative KCACHE reservation committed	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D8ZSf	terakan-pm4-windows-pthread-guard-D8ZSf	unbadged	terakan-debug	terakan-pm4-windows-pthread-guard	pm4_ib_dump_pthread_key is compiled only when DETECT_OS_WINDOWS is false	closed	Preprocess the Windows path and require no pthread_t declaration or pthread header dependency	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A Windows translation unit parses pthread_t or a POSIX-only helper signature	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D8ZSk	terakan-pm4-fnv-offset-basis-D8ZSk	unbadged	terakan-debug	terakan-pm4-fnv-offset-basis	pm4_ib_dump_pthread_key uses the standard 64-bit FNV-1a offset basis 14695981039346656037	closed	Compare the initializer and multiplier with the FNV-1a 64-bit constants	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	The initializer loses a digit or differs from the declared FNV-1a basis	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
PRRT_kwDOR3YK5M6D8ZTf	terakan-pm4-windows-pthread-guard-D8ZTf	P1	terakan-debug	terakan-pm4-windows-pthread-guard	pm4_ib_dump_pthread_key is compiled only when DETECT_OS_WINDOWS is false	closed	Preprocess the Windows path and require no pthread_t declaration or pthread header dependency	offline-source-history	src/amd/terascale/vulkan/terakan_pm4_ib_dump.c	Re-query unresolved; resolve exact ID from merged evidence; re-query resolved; record ledger row	A Windows translation unit parses pthread_t or a POSIX-only helper signature	fixed	0fab98b4e09da3f4d9920535cd2518e2055c9e27
