"work_group_id"	"status"	"evidence_commit"	"evidence_locator"	"discovery_command"	"verification_command"	"verification_result"	"closure_state"	"reason"	"falsifier"
"work-r300-pm4-builder-c-r300-pm4-reloc-nop-struct-r300-9487ac93309d"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/r300_pm4_builder.h:86-94"	"nl -ba -- src/amd/r300/common/r300_pm4_builder.h | sed -n 86,94p"	""	"not-run"	"open"	"The shared VAP vertex-index limit remains 0xffff even though the hardware index clamp accepts 24-bit indices."	"The builder and first-draw resolver accept 0xffffff and reject 0x1000000."
"work-r3v-native-burst-cell-harness-c-run-burst-leg-vkinstance-aa8bd4a0156f"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_burst_cell_harness.c:251-257"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_native_burst_cell_harness.c | sed -n 251,257p"	""	"not-run"	"open"	"The harness resets individual command buffers from a pool created without VK_COMMAND_POOL_CREATE_RESET_COMMAND_BUFFER_BIT."	"A validation-enabled reset leg runs without VUID-vkResetCommandBuffer-commandBuffer-00046."
"work-r300-cpu-compute-job-c-original-line-39-8e7a32b31e5b"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/cpu/r300_cpu_compute_job.c:29-31"	"nl -ba -- src/amd/r300/cpu/r300_cpu_compute_job.c | sed -n 29,31p"	""	"not-run"	"open"	"The invocation counter still rejects a zero group count instead of returning a successful zero-work dispatch."	"Every zero group-count axis returns success with zero invocations and touches no buffer."
"work-r300-cpu-compute-job-c-original-line-52-c7f087d76583"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/cpu/r300_cpu_compute_job.c:15-48"	"nl -ba -- src/amd/r300/cpu/r300_cpu_compute_job.c | sed -n 15,48p"	""	"not-run"	"open"	"The CPU route still multiplies Y and Z dimensions even though the admitted shader addresses only gl_GlobalInvocationID.x."	"Validation confines local and group Y/Z to one or execution follows the shader's actual indexing."
"work-r300-cpu-compute-job-c-original-line-81-940bc1d9c460"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/cpu/r300_cpu_compute_job.c:72-78"	"nl -ba -- src/amd/r300/cpu/r300_cpu_compute_job.c | sed -n 72,78p"	""	"not-run"	"open"	"The overlap check still rejects the exact same input and output range for the identity operation."	"An exact alias succeeds for identity while partial order-dependent overlaps still fail."
"work-r300-numeric-domain-c-const-struct-r300-virtual-op-info-1d6e693ef6e2"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/r300_numeric_domain.c:977-984"	"nl -ba -- src/amd/r300/common/r300_numeric_domain.c | sed -n 977,984p"	""	"not-run"	"open"	"The catalog still marks the combined AND, OR, and XOR logic-op family hardware-confirmed without the named AND and OR silicon observations."	"AND and OR carry retained independent silicon evidence or remain explicitly pending."
"work-r300-common-boundary-known-bad-object-c-original-line-8-bea2dbe3e603"	"fixed-on-main"	"367a218ff2b765194bd18d30ab84c41078341404"	"src/amd/r300/common/tests/fixtures/r300_common_boundary_known_bad_object.c:9-13"	"nl -ba -- src/amd/r300/common/tests/fixtures/r300_common_boundary_known_bad_object.c | sed -n 9,13p"	""	"not-run"	"open"	"The fixture now declares r300_common_boundary_known_bad_object before its definition."	"A warning-clean build still reports a missing prototype for the fixture entry point."
"work-r300-vertex-job-nir-c-r300-vertex-job-spirv-to-4357e0030c4e"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/compiler/r300_vertex_job_nir.c:64-68"	"nl -ba -- src/amd/r300/compiler/r300_vertex_job_nir.c | sed -n 64,68p"	""	"not-run"	"open"	"The parse-refusal comment still names the diagnostic and debug-trap behavior without a reproducible symbol-discovery locator."	"The comment names the exact search or reference query that reaches the diagnostic and trap path."
"work-r300-r2vb-typed-route-oracle-test-c-original-line-15-69cedd691702"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c:6-15"	"nl -ba -- src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c | sed -n 6,15p"	""	"not-run"	"open"	"The file-scope comment still explains the oracle through prior test history and an undefined silicon gate instead of the representation invariant."	"The comment states only the SPIR-V-to-planner representation boundary and its executable oracle."
"work-r300-r2vb-typed-route-oracle-test-c-original-line-25-98904491ae8e"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c:17-25"	"nl -ba -- src/gallium/drivers/r300/tests/r300_r2vb_typed_route_oracle_test.c | sed -n 17,25p"	""	"not-run"	"open"	"The adapter-equivalence claims still lack search locators for the GL uniform lowering and state-tracker location assignment paths."	"Each cross-file equivalence claim names its reproducible search and owning symbol."
"work-meson-options-option-cf4f4737a530"	"fixed-on-main"	"8077376b79a29299a39b37c6178b7a064a9abf29"	"src/amd/r300/vulkan/meson.build ati_r300 driver selection"	"rg -n --fixed-strings -- driver src/amd/r300/vulkan/meson.build"	""	"not-run"	"open"	"The surviving r3v ICD now builds directly whenever vulkan-drivers selects ati_r300; the removed backend option no longer gates it."	"An ati_r300 profile configures successfully without producing libvulkan_r3v.so and its ICD manifest."
"work-3-r300-full-debug-optimized-x86-64v1-clang22-distcc-cache-e11f7468afe9"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"build-infra/configs/3_r300_full_debug_optimized_x86_64v1-clang22-distcc-cache.meson:55-61"	"nl -ba -- build-infra/configs/3_r300_full_debug_optimized_x86_64v1-clang22-distcc-cache.meson | sed -n 55,61p"	""	"not-run"	"open"	"The primary profile still routes Zink to an r3v ICD that lacks Zink's required feature surface."	"The profile removes Zink or the selected ICD satisfies and tests every Zink-required capability."
"work-r300-retained-route-digests-h-original-line-21-1cc15cd19e5e"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/tests/r300_staging_manifest_test.c:89-91"	"nl -ba -- src/amd/r300/common/tests/r300_staging_manifest_test.c | sed -n 89,91p"	""	"not-run"	"open"	"The staging-manifest test still duplicates the CPU route digest as a string literal instead of consuming the shared constant."	"Repinning the shared header alone updates every CPU-route digest assertion."
"work-r300-vertex-stream-h-struct-r300-vertex-stream-7a2a30d0e690"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/r300_vertex_stream.h:14-26"	"nl -ba -- src/amd/r300/common/r300_vertex_stream.h | sed -n 14,26p"	""	"not-run"	"open"	"The shared record and instance rules still equate Vulkan and GL behavior without naming the governing specification sections or separating differing guarantees."	"The contract cites matching primary rules for both APIs or exposes distinct policies where they differ."
"work-r3v-native-fetched-gpu-producer-arming-runner-check-py-original-5cbe87912df9"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_fetched_gpu_producer_arming_runner_check.py:137-192"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_native_fetched_gpu_producer_arming_runner_check.py | sed -n 137,192p"	""	"not-run"	"open"	"Every run after the gates open still carries a wrong digest, stale digest, wrong chip, or closed route gate, so an always-refusing runner passes."	"An all-factors-matching non-submitting calibration returns armed before each refusal mutation."
"work-r300-compute-identity-carrier-c-original-line-57-dbbde9690099"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/common/r300_compute_identity_carrier.c:54-59"	"nl -ba -- src/amd/r300/common/r300_compute_identity_carrier.c | sed -n 54,59p"	""	"not-run"	"open"	"The output-size check still subtracts carrier_offset before proving that the offset is inside the carrier BO."	"An offset one byte beyond the BO returns ERANGE before unsigned subtraction."
"work-r3v-native-attended-compute-identity-c-original-line-509-453dca74e074"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_attended_compute_identity.c:completion result handling"	"rg -n --fixed-strings -- completion src/amd/r300/vulkan/tests/r3v_native_attended_compute_identity.c"	""	"not-run"	"open"	"The runner still serializes and judges mapped output after a completion-wait failure when readback is indeterminate."	"Completion failure records unavailable readback and performs no output comparison before safe recovery."
"work-r3v-native-attended-compute-identity-procedure-md-original-line-28-4ff061f7aae3"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-native-attended-compute-identity-procedure.md:preflight artifacts"	"rg -n '^' docs/hardware/r3v-native-attended-compute-identity-procedure.md"	""	"not-run"	"open"	"The procedure still inherits an artifact hash for a different submitter instead of binding the compute executable."	"The preflight hash set includes and rechecks r3v_native_attended_compute_identity."
"work-r3v-native-attended-compute-identity-procedure-md-original-line-70-d474a4319fec"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-native-attended-compute-identity-procedure.md:68-70"	"nl -ba -- docs/hardware/r3v-native-attended-compute-identity-procedure.md | sed -n 68,70p"	""	"not-run"	"open"	"The procedure still says every missing declaration consumes an attempt even though pre-admission refusal writes no token."	"The procedure distinguishes preserved pre-admission directories from consumed admitted attempts."
"work-r3v-vulkan10-requirement-inventory-py-original-line-104-79cb6ccf9de5"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py:parse_api_version"	"rg -n --fixed-strings -- parse_api_version src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py"	""	"not-run"	"open"	"API version matching can still select a commented definition before the active macro."	"Comment stripping plus a unique active-definition check rejects the calibrated commented decoy."
"work-r3v-vulkan10-requirement-inventory-py-original-line-146-d5a99589e107"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py:parse_queue_family"	"rg -n --fixed-strings -- parse_queue_family src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py"	""	"not-run"	"open"	"Queue-family parsing still checks required snippets without proving a single family or excluding additional capability mutations."	"A second family and an added sparse-binding bit are each rejected by calibrated fixtures."
"work-r3v-vulkan10-requirement-inventory-py-original-line-256-3885d5d5fb51"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py:Registry dependency closure"	"rg -n --fixed-strings -- dependency src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py"	""	"not-run"	"open"	"The orphan-alias traversal still omits enum aliases introduced by advertised extensions."	"A required enum alias whose target is absent fails the self-test fixture."
"work-r3v-vulkan10-requirement-inventory-py-original-line-87-64d65c7174d2"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py:extension table parser"	"rg -n --fixed-strings -- extension src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py"	""	"not-run"	"open"	"The extension initializer parser still skips valid designators whose value is an expression it does not recognize."	"Every initializer row is counted and an unparsed expression fails closed."
"work-r3v-native-object-c-r3v-destroyquerypool-vkdevice-device-vkquerypool-poo-5750f88c4dc1"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/r3v_native.h:263-270"	"nl -ba -- src/amd/r300/vulkan/r3v_native.h | sed -n 263,270p"	""	"not-run"	"open"	"The host-visible event state remains a plain bool read and written concurrently by polling and queue execution."	"Event state uses atomic storage with an ordering contract validated by a concurrent poll test."
"work-r3v-advertised-surface-deqp-binding-py-original-line-110-4e7f62c15c6a"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_advertised_surface_deqp_binding.py:130-138"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_advertised_surface_deqp_binding.py | sed -n 130,138p"	""	"not-run"	"open"	"The mustpass loader still unions every text caselist recursively instead of selecting the applicable Vulkan 1.0 list."	"A group found only in a newer or non-target caselist is rejected."
"work-r3v-native-object-c-original-line-42-d096d31c657b"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/r3v_native.h:938-943"	"nl -ba -- src/amd/r300/vulkan/r3v_native.h | sed -n 938,943p"	""	"not-run"	"open"	"The buffer-view mechanism comments still name cross-file symbols without the required reproducible discovery locators."	"Every load-bearing cross-file symbol claim names its exact search query and source root."
"work-r3v-native-advertised-surface-audit-py-original-line-88-8875412fb5af"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py:receipt registry"	"rg -n --fixed-strings -- 'receipt registry' src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py"	""	"not-run"	"open"	"The audit still discards receipt names and does not prove that the named registered tests exercise each advertised boundary."	"Removing or weakening a named boundary receipt makes a calibrated audit fail."
"work-r3v-native-advertised-surface-audit-py-original-line-91-1843d1bc339f"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py:limit parsing"	"rg -n --fixed-strings -- limit src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py"	""	"not-run"	"open"	"The audit still compares the limit assignment token without resolving the macro value from r3v_private.h."	"Changing the defining macro while leaving the assignment spelling intact fails the calibrated audit."
"work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-2290898a0779"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md:heap sizing"	"rg -n --fixed-strings -- heap docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md"	""	"not-run"	"open"	"The document still omits the live 192 MiB fallback when GEM_INFO fails or reports no pool."	"The documented capacity rule includes the exact fallback condition and sizes."
"work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-5a67a3d2cc77"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md:kernel pins"	"rg -n --fixed-strings -- kernel docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md"	""	"not-run"	"open"	"The document still claims a kernel-contract pin that has no matching executable test."	"A mutation of every consumed ledger row is rejected by the named test."
"work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-82ad985edbbf"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md:PRIME"	"rg -n --fixed-strings -- PRIME docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md"	""	"not-run"	"open"	"The document still presents dormant PRIME helpers as a Vulkan client surface."	"The text marks PRIME as unavailable until external-memory extensions and entry points expose it."
"work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-8a25174be548"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md:completion waits"	"rg -n --fixed-strings -- completion docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md"	""	"not-run"	"open"	"The completion description still omits the bounded EBUSY retry loop."	"The text distinguishes wait retries from prohibited command replay."
"work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-abcb566c316c"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md:dedicated allocations"	"rg -n --fixed-strings -- allocations docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md"	""	"not-run"	"open"	"The document still denies dedicated allocation for render-family images that require BO offset zero."	"Render images retain their preferred and required dedicated-allocation rule."
"work-r3v-native-memory-model-harness-c-original-line-213-e6db7aab47eb"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c:allocation failure arm"	"rg -n --fixed-strings -- allocation src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c"	""	"not-run"	"open"	"The failure arm still checks only VkResult and cannot detect a leaked host allocation."	"A tracked outstanding-allocation count returns to its pre-call value."
"work-r3v-native-memory-model-harness-c-original-line-242-369a732053be"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c:remap arm"	"rg -n --fixed-strings -- arm src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c"	""	"not-run"	"open"	"The harness still requires a second mmap to reuse the expired virtual address."	"The arm validates bytes and offset without comparing old and new virtual addresses."
"work-r3v-native-memory-model-harness-c-original-line-302-89a27d094337"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c:bind refusals"	"rg -n --fixed-strings -- bind src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c"	""	"not-run"	"open"	"Rejected binds still lack assertions that object binding state remained unchanged."	"Each refusal preserves the prior memory and offset fields."
"work-r3v-native-memory-model-harness-c-original-line-361-affd671ba30d"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c:commitment query"	"rg -n -i --fixed-strings -- commitment src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c"	""	"not-run"	"open"	"The harness still queries commitment for a non-lazily-allocated memory type."	"No commitment query is issued unless the selected type carries LAZILY_ALLOCATED."
"work-r3v-native-memory-model-harness-c-original-line-387-b9a95739acdd"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c:known-bad range"	"rg -n --fixed-strings -- known src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c"	""	"not-run"	"open"	"The known-bad flush arm still uses unmapped memory and can pass for the wrong refusal reason."	"The allocation is mapped before the isolated out-of-range mutation."
"work-r3v-kernel-memory-contract-pins-tsv-original-line-10-dfc01d1e71ea"	"fixed-on-main"	"8afa214faa11235fb25f8de610ed3b36d32b1d43"	"src/amd/r300/vulkan/tests/r3v_kernel_memory_contract_pins.tsv GTT geometry rows"	"rg -n --fixed-strings -- GTT src/amd/r300/vulkan/tests/r3v_kernel_memory_contract_pins.tsv"	""	"not-run"	"open"	"The pin table now includes both RS482 GTT size-encoding and address-placement rows consumed by the memory model."	"Changing either consumed geometry row leaves the pin check green."
"work-rs482-composed-surface-campaign-md-original-line-121-49413c777376"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:sample-count masks"	"rg -n --fixed-strings -- 'sample-count masks' docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The plan still raises sampled-image masks without a multisample sampling path."	"Sampled-image masks remain closed or gain descriptor and sample-index receipts."
"work-rs482-composed-surface-campaign-md-original-line-66-34cc4deb44f1"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:COLORPITCH"	"rg -n --fixed-strings -- COLORPITCH docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The plan still describes COLORPITCH in 64-byte units instead of pixels."	"The wider-cell recipe passes an even pixel pitch to the packer."
"work-rs482-composed-surface-campaign-md-original-line-69-aff02bb65584"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:R1 vertices"	"rg -n --fixed-strings -- vertices docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The wider R1 plan still leaves fixed pretransformed 64-pixel vertex coordinates."	"The vertex payload or VTE transform spans each qualified extent."
"work-rs482-composed-surface-campaign-md-original-line-89-6451ba7fd79a"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:seam oracle"	"rg -n --fixed-strings -- oracle docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The seam plan still uses an idempotent overwrite that cannot reveal duplicate rasterization."	"A non-idempotent signal distinguishes one seam write from two."
"work-rs482-composed-surface-campaign-md-original-line-91-0eec86493025"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:viewport limits"	"rg -n --fixed-strings -- 'viewport limits' docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The composed-surface rungs still lack a 4096 viewport receipt."	"The final rung qualifies both 4096 viewport dimensions and per-tile translation."
"work-rs482-composed-surface-campaign-md-original-line-100-95c52e577bd3"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:sampler budget"	"rg -n --fixed-strings -- sampler docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"Four-way stitching still multiplies physical sampler use while retaining a 16-logical-sampler claim."	"The lowering avoids persistent fourfold use or the advertised limit is reduced with receipts."
"work-rs482-composed-surface-campaign-md-original-line-103-36dcd5bb4583"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:4096 linear cover"	"rg -n --fixed-strings -- linear docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The plan still lacks the three-chart construction needed for a 4096 LINEAR atlas."	"A 4096 three-chart seam receipt exists before the capability opens."
"work-rs482-composed-surface-campaign-md-original-line-112-73094d075525"	"repair-required"	"660f73b28743b3f032697ae7bdbc980efd3f3020"	"docs/hardware/rs482-composed-surface-campaign.md:4x sample positions"	"rg -n --fixed-strings -- positions docs/hardware/rs482-composed-surface-campaign.md"	""	"not-run"	"open"	"The 4x rung still omits Vulkan-standard sample positions and subpixel-grid programming."	"The exact Vulkan 4x coordinates and SUBPIXEL setting pass a coverage oracle."
"work-r3v-deqp-provision-py-original-line-248-26cd482aca03"	"fixed-on-main"	"4653e691f1692ad7c7e37835316e6cf7d82fc7bc"	"src/amd/r300/vulkan/tests/r3v_deqp_provision.py:242-251,355"	"nl -ba -- src/amd/r300/vulkan/tests/r3v_deqp_provision.py | sed -n '242,251p;355p'"	""	"not-run"	"open"	"Bundle creation refuses dirty source before output creation and verification rejects recorded dirty provenance."	"A dirty source leaves a reusable bundle or dirty provenance verifies."
"work-r3v-deqp-provision-py-original-line-90-12aa6145e207"	"fixed-on-main"	"4653e691f1692ad7c7e37835316e6cf7d82fc7bc"	"src/amd/r300/vulkan/tests/r3v_deqp_provision.py:instruction ISA table"	"rg -n --fixed-strings -- instruction src/amd/r300/vulkan/tests/r3v_deqp_provision.py"	""	"not-run"	"open"	"The disassembly screen now covers the forbidden post-K8 instruction families including the calibrated pblendw case."	"A representative post-SSE3 opcode is absent from the refusal table."
