frontier_id	priority	domain	mechanism	current_evidence	completion_state	discriminating_question	required_observation	execution_class	authority_owner	canonical_data_target	required_generator	probe_declaration	bounded_output_schema	maximum_rows_and_bytes	retention_class	tools	ordering_dependencies	completion_gate	falsification_condition	batch_id	batch_rank	thread_id	pr_number	thread_created_at	is_outdated	review_path	original_line	review_author	review_url	disposition	merged_evidence_commit	resolution_state
terakan-variable-descriptor-count-presence-5M6B6RjZ	P2	terakan-descriptor	terakan-variable-descriptor-count-presence	terakan_descriptor_set_layout.c:156-179,280-286 returns variable capacity only for a variable binding	closed	Does current main still exhibit terakan-variable-descriptor-count-presence?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_descriptor_set_layout.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 10 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	11	PRRT_kwDOR3YK5M6B6RjZ	11	2026-05-13T22:49:06Z	false	src/amd/terascale/vulkan/terakan_descriptor_set_layout.c	570	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/11#discussion_r3237886115	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-device-group-dispatch-base-gate-5M6CO4cM	P1	terakan	terakan-device-group-dispatch-base-gate	terakan_physical_device.c:1110-1113 keeps KHR_device_group disabled while dispatch base is implemented	closed	Does current main still exhibit terakan-device-group-dispatch-base-gate?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 11 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	12	PRRT_kwDOR3YK5M6CO4cM	12	2026-05-15T01:42:59Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	1062	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/12#discussion_r3245292453	fixed	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-cmpxchg-scope-chip-policy-5M6CP-55	P1	terakan-nir	terakan-cmpxchg-scope-chip-policy	terakan_nir_lower_cmpxchg.c:97-108,176-226 gates chip, scope, and unsafe policy	closed	Does current main still exhibit terakan-cmpxchg-scope-chip-policy?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_cmpxchg.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 12 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	13	PRRT_kwDOR3YK5M6CP-55	13	2026-05-15T03:35:19Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_cmpxchg.c	116	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/13#discussion_r3245716219	fixed	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-fd-sync-extension-capability-gate-5M6CP-58	P2	terakan	terakan-fd-sync-extension-capability-gate	drm_radeon physical-device capability code exposes FD sync extensions only with syncobj features	closed	Does current main still exhibit terakan-fd-sync-extension-capability-gate?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 13 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	14	PRRT_kwDOR3YK5M6CP-58	13	2026-05-15T03:35:20Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	1070	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/13#discussion_r3245716222	fixed	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-basic-subgroup-capability-gate-5M6CQHKh	P1	terakan	terakan-basic-subgroup-capability-gate	terakan_physical_device.c:868-878 advertises no subgroup stages or operations	closed	Does current main still exhibit terakan-basic-subgroup-capability-gate?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 14 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	15	PRRT_kwDOR3YK5M6CQHKh	14	2026-05-15T03:48:09Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	878	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/14#discussion_r3245766331	superseded	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-fallback-uav-index-initialization-5M6CQlxd	P1	terakan	terakan-fallback-uav-index-initialization	terakan_dispatch.c:1200-1218 initializes the fallback mutable-resource index before lookup	closed	Does current main still exhibit terakan-fallback-uav-index-initialization?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_dispatch.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 15 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	16	PRRT_kwDOR3YK5M6CQlxd	15	2026-05-15T04:40:56Z	false	src/amd/terascale/vulkan/terakan_dispatch.c	1532	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/15#discussion_r3245941674	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-buffer-uav-compact-offset-index-5M6CQlxg	P1	terakan	terakan-buffer-uav-compact-offset-index	terakan_dispatch.c:1530-1540 stores push offsets by compact UAV slot	closed	Does current main still exhibit terakan-buffer-uav-compact-offset-index?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_dispatch.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 16 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	17	PRRT_kwDOR3YK5M6CQlxg	15	2026-05-15T04:40:56Z	false	src/amd/terascale/vulkan/terakan_dispatch.c	1537	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/15#discussion_r3245941679	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-buffer-uav-producer-consumer-index-5M6CQonM	P1	terakan	terakan-buffer-uav-producer-consumer-index	terakan_nir_lower_abi.c:587-612 consumes the same compact UAV slot domain	closed	Does current main still exhibit terakan-buffer-uav-producer-consumer-index?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 17 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	18	PRRT_kwDOR3YK5M6CQonM	16	2026-05-15T04:46:56Z	false	src/amd/terascale/vulkan/terakan_dispatch.c	1536	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/16#discussion_r3245957801	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-vote-lowering-capability-gate-5M6Ca6vi	P1	terakan	terakan-vote-lowering-capability-gate	terakan_physical_device.c:868-878 removes the VOTE API reachability despite latent lowering debt	closed	Does current main still exhibit terakan-vote-lowering-capability-gate?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_physical_device.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 18 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	19	PRRT_kwDOR3YK5M6Ca6vi	33	2026-05-15T16:44:35Z	false	src/amd/terascale/vulkan/terakan_shader.c	332	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/33#discussion_r3249649543	superseded	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-ballot-read-invocation-lowering-5M6Ca6vn	P1	terakan	terakan-ballot-read-invocation-lowering	terakan_nir_lower_subgroup_lds.c:360-371,607-608 lowers dynamic-lane read invocation	closed	Does current main still exhibit terakan-ballot-read-invocation-lowering?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_subgroup_lds.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 19 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	20	PRRT_kwDOR3YK5M6Ca6vn	33	2026-05-15T16:44:35Z	false	src/amd/terascale/vulkan/terakan_physical_device.c	910	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/33#discussion_r3249649552	fixed	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-ballot-lds-reinitialization-5M6Ca6vt	P1	terakan-nir	terakan-ballot-lds-reinitialization	terakan_nir_lower_subgroup_lds.c:170-224 clears ballot LDS words before each execution	closed	Does current main still exhibit terakan-ballot-lds-reinitialization?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_subgroup_lds.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 20 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	21	PRRT_kwDOR3YK5M6Ca6vt	33	2026-05-15T16:44:35Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_subgroup_lds.c	159	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/33#discussion_r3249649557	fixed	7ac62205eb882df42462d849cc549086b59227ea	resolved
terakan-indirect-draw-bound-memory-offset-5M6Cf-xA	P1	terakan	terakan-indirect-draw-bound-memory-offset	terakan_draw.c:553-611 separates Vulkan buffer bounds from BO-relative indirect packet offsets	closed	Does current main still exhibit terakan-indirect-draw-bound-memory-offset?	Carry both Vulkan-buffer-relative bounds and BO-relative packet offsets; test nonzero bind offsets	offline-build-test	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_draw.c	GitHub GraphQL reviewThreads plus source-history audit	focused source contract and unit test	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 21 remains stable	Merge the mechanism fix and focused tests; synchronize main; resolve the exact ID; re-query resolved	A focused mutant or current-main path still violates terakan-indirect-draw-bound-memory-offset	merged-review-thread-closure-batch-0001	22	PRRT_kwDOR3YK5M6Cf-xA	40	2026-05-15T23:24:42Z	false	src/amd/terascale/vulkan/terakan_draw.c	607	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/40#discussion_r3251486615	fixed	a3c0fa082aaffe78242aca3a9c754f7938d8cd53	resolved
terakan-tg4-dynamic-texture-offset-5M6ChOE1	P1	terakan-nir	terakan-tg4-dynamic-texture-offset	terakan_nir_lower_tg4_view_swizzle.c:157-176 includes the runtime texture offset	closed	Does current main still exhibit terakan-tg4-dynamic-texture-offset?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_tg4_view_swizzle.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 22 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	23	PRRT_kwDOR3YK5M6ChOE1	47	2026-05-16T03:19:13Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_tg4_view_swizzle.c	141	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/47#discussion_r3251924388	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-tg4-stage-specific-swizzle-metadata-5M6ChOE3	P2	terakan-descriptor	terakan-tg4-stage-specific-swizzle-metadata	terakan_pipeline_layout.c:280-304 writes compact swizzles through an explicit shader-stage index	closed	Does current main still exhibit terakan-tg4-stage-specific-swizzle-metadata?	Give each shader stage independent swizzle metadata and test VS plus FS at the same local slot	offline-build-test	mesa-26-gororoba	src/amd/terascale/vulkan/terakan_pipeline_layout.c	GitHub GraphQL reviewThreads plus source-history audit	focused source contract and unit test	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 23 remains stable	Merge the mechanism fix and focused tests; synchronize main; resolve the exact ID; re-query resolved	A focused mutant or current-main path still violates terakan-tg4-stage-specific-swizzle-metadata	merged-review-thread-closure-batch-0001	24	PRRT_kwDOR3YK5M6ChOE3	47	2026-05-16T03:19:13Z	false	src/amd/terascale/vulkan/terakan_pipeline_layout.c	247	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/47#discussion_r3251924389	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
terakan-dynamic-robustness-metadata-row-5M6CidZl	P1	terakan-nir	terakan-dynamic-robustness-metadata-row	terakan_nir_lower_abi.c:414-443 selects dynamic robustness rows and components	closed	Does current main still exhibit terakan-dynamic-robustness-metadata-row?	Re-query the exact thread and confirm the audited source mechanism remains on merged main	offline-source-history	mesa-26-gororoba	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	GitHub GraphQL reviewThreads plus source-history audit	static source and Git history	one frontier row and one verified closure-ledger row	50 rows; 262144 bytes	canonical-review-ledger	gh api graphql; rg; git log; sed	batch rank 24 remains stable	Re-query unresolved; resolve the exact ID from merged evidence; re-query resolved; record the ledger row	The reviewed defect remains reproducible on current main or the focused regression fails	merged-review-thread-closure-batch-0001	25	PRRT_kwDOR3YK5M6CidZl	48	2026-05-16T06:48:16Z	false	src/amd/terascale/vulkan/nir/terakan_nir_lower_abi.c	520	chatgpt-codex-connector	https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/48#discussion_r3252387483	fixed	be04af1a29febc99291701ef730ffeaa433d4591	resolved
