cluster_rank	cluster_id	work_group_id	oldest_thread_created_at	review_path	source_anchor	thread_count	pull_request_numbers	thread_ids	claim_headings	validation_gate	history_state
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-native-attended-compute-identity-procedure-md-original-line-28-4ff061f7aae3	2026-08-23T10:34:58Z	docs/hardware/r3v-native-attended-compute-identity-procedure.md	original line 28	1	"[""1728""]"	"[""PRRT_kwDOR3YK5M6ber36""]"	"[""hash the compute submitter qualified by the preflight""]"	documentation-symbol-and-link-check	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-native-attended-compute-identity-procedure-md-original-line-70-d474a4319fec	2026-08-23T10:34:58Z	docs/hardware/r3v-native-attended-compute-identity-procedure.md	original line 70	1	"[""1728""]"	"[""PRRT_kwDOR3YK5M6ber33""]"	"[""keep pre admission refusals outside the consumed attempt""]"	documentation-symbol-and-link-check	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-vulkan10-requirement-inventory-py-original-line-104-79cb6ccf9de5	2026-08-24T19:40:38Z	src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py	original line 104	1	"[""1758""]"	"[""PRRT_kwDOR3YK5M6b1DP_""]"	"[""ignore commented out api version definitions""]"	python-test-black-and-ruff	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-vulkan10-requirement-inventory-py-original-line-146-d5a99589e107	2026-08-24T19:40:38Z	src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py	original line 146	1	"[""1758""]"	"[""PRRT_kwDOR3YK5M6b1DP0""]"	"[""reject additional queue families and capability bits""]"	python-test-black-and-ruff	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-vulkan10-requirement-inventory-py-original-line-256-3885d5d5fb51	2026-08-24T19:40:38Z	src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py	original line 256	1	"[""1758""]"	"[""PRRT_kwDOR3YK5M6b1DQD""]"	"[""include enum aliases in the orphan check""]"	python-test-black-and-ruff	changed-since-review
18	review-one-change-commit-8e1387b5c97e329dd7b12f9937d691611c40f63e-eaf3e3c301f1	work-r3v-vulkan10-requirement-inventory-py-original-line-87-64d65c7174d2	2026-08-24T19:40:38Z	src/amd/r300/vulkan/tests/r3v_vulkan10_requirement_inventory.py	original line 87	1	"[""1758""]"	"[""PRRT_kwDOR3YK5M6b1DP6""]"	"[""reject unparsed extension initializer rows""]"	python-test-black-and-ruff	changed-since-review
19	review-one-change-commit-13683abd6ad3fcbf0d052d1a63b24793b59211fa-99272a519da3	work-r3v-native-object-c-r3v-destroyquerypool-vkdevice-device-vkquerypool-poo-5750f88c4dc1	2026-08-23T22:32:15Z	src/amd/r300/vulkan/r3v_native_object.c	r3v destroyquerypool vkdevice device vkquerypool pool	1	"[""1746""]"	"[""PRRT_kwDOR3YK5M6bimU0""]"	"[""use atomic storage for the host visible event state""]"	warning-clean-driver-build-and-focused-test	changed-since-review
19	review-one-change-commit-13683abd6ad3fcbf0d052d1a63b24793b59211fa-99272a519da3	work-r3v-advertised-surface-deqp-binding-py-original-line-110-4e7f62c15c6a	2026-08-24T19:55:11Z	src/amd/r300/vulkan/tests/r3v_advertised_surface_deqp_binding.py	original line 110	1	"[""1759""]"	"[""PRRT_kwDOR3YK5M6b1VSo""]"	"[""restrict matching to the applicable vulkan 1 0 caselist""]"	python-test-black-and-ruff	changed-since-review
19	review-one-change-commit-13683abd6ad3fcbf0d052d1a63b24793b59211fa-99272a519da3	work-r3v-native-object-c-original-line-42-d096d31c657b	2026-08-24T23:23:43Z	src/amd/r300/vulkan/r3v_native_object.c	original line 42	1	"[""1773""]"	"[""PRRT_kwDOR3YK5M6b4qNh""]"	"[""add discovery locators to the new symbol claims""]"	warning-clean-driver-build-and-focused-test	changed-since-review
20	review-one-change-commit-ebc8348c2ec8951c28056c17b036a365856cd12a-5c3ff362e1e0	work-r3v-native-advertised-surface-audit-py-original-line-88-8875412fb5af	2026-08-23T22:32:51Z	src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py	original line 88	1	"[""1748""]"	"[""PRRT_kwDOR3YK5M6bimgN""]"	"[""enforce the named test receipts""]"	python-test-black-and-ruff	changed-since-review
20	review-one-change-commit-ebc8348c2ec8951c28056c17b036a365856cd12a-5c3ff362e1e0	work-r3v-native-advertised-surface-audit-py-original-line-91-1843d1bc339f	2026-08-23T22:32:51Z	src/amd/r300/vulkan/tests/r3v_native_advertised_surface_audit.py	original line 91	1	"[""1748""]"	"[""PRRT_kwDOR3YK5M6bimgL""]"	"[""validate the resolved limit value not the rhs token""]"	python-test-black-and-ruff	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-2290898a0779	2026-08-24T15:47:19Z	docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md	original line 25	1	"[""1753""]"	"[""PRRT_kwDOR3YK5M6bwiXS""]"	"[""document the gem info fallback heap size""]"	documentation-symbol-and-link-check	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-5a67a3d2cc77	2026-08-24T15:47:19Z	docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md	original line 12	1	"[""1753""]"	"[""PRRT_kwDOR3YK5M6bwiWv""]"	"[""add the claimed kernel contract pin test""]"	documentation-symbol-and-link-check	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-82ad985edbbf	2026-08-24T15:47:19Z	docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md	original line 122	1	"[""1753""]"	"[""PRRT_kwDOR3YK5M6bwiXB""]"	"[""mark prime helpers as unavailable to vulkan clients""]"	documentation-symbol-and-link-check	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-8a25174be548	2026-08-24T15:47:19Z	docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md	original line 135	1	"[""1753""]"	"[""PRRT_kwDOR3YK5M6bwiXJ""]"	"[""document the bounded idle wait retries""]"	documentation-symbol-and-link-check	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-abcb566c316c	2026-08-24T15:47:19Z	docs/hardware/r3v-vulkan-memory-model-over-radeon-drm.md	original line 118	1	"[""1753""]"	"[""PRRT_kwDOR3YK5M6bwiW6""]"	"[""preserve render image dedicated allocation requirements""]"	documentation-symbol-and-link-check	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-native-memory-model-harness-c-original-line-213-e6db7aab47eb	2026-08-24T15:52:22Z	src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c	original line 213	1	"[""1754""]"	"[""PRRT_kwDOR3YK5M6bwo0W""]"	"[""verify the failed allocation actually unwinds""]"	warning-clean-driver-build-and-focused-test	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-native-memory-model-harness-c-original-line-242-369a732053be	2026-08-24T15:52:22Z	src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c	original line 242	1	"[""1754""]"	"[""PRRT_kwDOR3YK5M6bwo0V""]"	"[""stop requiring virtual address reuse after remapping""]"	warning-clean-driver-build-and-focused-test	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-native-memory-model-harness-c-original-line-302-89a27d094337	2026-08-24T15:52:22Z	src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c	original line 302	1	"[""1754""]"	"[""PRRT_kwDOR3YK5M6bwo0Y""]"	"[""verify rejected binds preserve the prior binding state""]"	warning-clean-driver-build-and-focused-test	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-native-memory-model-harness-c-original-line-361-affd671ba30d	2026-08-24T15:52:22Z	src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c	original line 361	1	"[""1754""]"	"[""PRRT_kwDOR3YK5M6bwo0b""]"	"[""remove the commitment query for non lazy memory""]"	warning-clean-driver-build-and-focused-test	changed-since-review
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	work-r3v-native-memory-model-harness-c-original-line-387-b9a95739acdd	2026-08-24T15:52:22Z	src/amd/r300/vulkan/tests/r3v_native_memory_model_harness.c	original line 387	1	"[""1754""]"	"[""PRRT_kwDOR3YK5M6bwo0P""]"	"[""map the allocation in the known bad range arm""]"	warning-clean-driver-build-and-focused-test	changed-since-review
22	review-one-change-commit-8afa214faa11235fb25f8de610ed3b36d32b1d43-7a67c5e7a958	work-r3v-kernel-memory-contract-pins-tsv-original-line-10-dfc01d1e71ea	2026-08-24T15:56:46Z	src/amd/r300/vulkan/tests/r3v_kernel_memory_contract_pins.tsv	original line 10	1	"[""1756""]"	"[""PRRT_kwDOR3YK5M6bwuq0""]"	"[""pin the two gtt geometry rows consumed by the model""]"	schema-generator-and-mutation-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-121-49413c777376	2026-08-24T20:20:06Z	docs/hardware/rs482-composed-surface-campaign.md	original line 121	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yx8""]"	"[""keep sampled image masks closed after the resolve cell""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-66-34cc4deb44f1	2026-08-24T20:20:06Z	docs/hardware/rs482-composed-surface-campaign.md	original line 66	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yyE""]"	"[""express colorpitch in pixels rather than 64 byte units""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-69-aff02bb65584	2026-08-24T20:20:06Z	docs/hardware/rs482-composed-surface-campaign.md	original line 69	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yyH""]"	"[""scale the pretransformed vertices for wider r1 cells""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-89-6451ba7fd79a	2026-08-24T20:20:06Z	docs/hardware/rs482-composed-surface-campaign.md	original line 89	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yyP""]"	"[""make the seam oracle expose duplicate rasterization""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-91-0eec86493025	2026-08-24T20:20:06Z	docs/hardware/rs482-composed-surface-campaign.md	original line 91	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yx3""]"	"[""raise the viewport limits in the composed surface rung""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-100-95c52e577bd3	2026-08-24T20:20:07Z	docs/hardware/rs482-composed-surface-campaign.md	original line 100	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yyX""]"	"[""preserve the 16 sampler contract under four way stitching""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-103-36dcd5bb4583	2026-08-24T20:20:07Z	docs/hardware/rs482-composed-surface-campaign.md	original line 103	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yyU""]"	"[""add the three chart cover before claiming 4096 linear""]"	documentation-symbol-and-link-check	changed-since-review
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	work-rs482-composed-surface-campaign-md-original-line-112-73094d075525	2026-08-24T20:20:07Z	docs/hardware/rs482-composed-surface-campaign.md	original line 112	1	"[""1763""]"	"[""PRRT_kwDOR3YK5M6b1yye""]"	"[""program vulkan standard 4x sample locations""]"	documentation-symbol-and-link-check	changed-since-review
24	review-one-change-commit-4653e691f1692ad7c7e37835316e6cf7d82fc7bc-456baa5c10ae	work-r3v-deqp-provision-py-original-line-248-26cd482aca03	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 248	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35qx""]"	"[""reject dirty provenance during bundle verification""]"	python-test-black-and-ruff	changed-since-review
24	review-one-change-commit-4653e691f1692ad7c7e37835316e6cf7d82fc7bc-456baa5c10ae	work-r3v-deqp-provision-py-original-line-90-12aa6145e207	2026-08-24T22:25:29Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 90	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b35qr""]"	"[""cover every instruction above the k8 ceiling""]"	python-test-black-and-ruff	changed-since-review
24	review-one-change-commit-4653e691f1692ad7c7e37835316e6cf7d82fc7bc-456baa5c10ae	work-r3v-deqp-provision-py-original-line-305-0b7c8909fa6b	2026-08-24T22:54:13Z	src/amd/r300/vulkan/tests/r3v_deqp_provision.py	original line 305	1	"[""1768""]"	"[""PRRT_kwDOR3YK5M6b4SNx""]"	"[""check every feature required by each x86 64 level""]"	python-test-black-and-ruff	changed-since-review
25	review-one-change-commit-baf48620c79c19566965936e10cb66c5c1419cf5-9adbad1b8419	work-r3v-native-plan-tool-c-original-line-159-58fd0e8c71d0	2026-08-24T22:49:31Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 159	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4Obe""]"	"[""preserve the dso identity observed during capture""]"	warning-clean-driver-build-and-focused-test	changed-since-review
25	review-one-change-commit-baf48620c79c19566965936e10cb66c5c1419cf5-9adbad1b8419	work-r3v-native-plan-tool-c-original-line-160-c2c13e092f29	2026-08-24T22:49:31Z	src/amd/r300/vulkan/tests/r3v_native_plan_tool.c	original line 160	1	"[""1770""]"	"[""PRRT_kwDOR3YK5M6b4Obj""]"	"[""reject overlong identity arguments instead of truncating them""]"	warning-clean-driver-build-and-focused-test	changed-since-review
