cluster_rank	cluster_id	review_route	review_group_count	thread_count	review_path_count	pull_request_count	oldest_thread_created_at	newest_thread_created_at	validation_gates	history_states	path_change_candidates	representative_work_group_id	next_action
19	review-one-change-commit-13683abd6ad3fcbf0d052d1a63b24793b59211fa-99272a519da3	one-change-commit	3	3	2	3	2026-08-23T22:32:15Z	2026-08-24T23:23:43Z	"[""python-test-black-and-ruff"",""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""13683abd6ad3fcbf0d052d1a63b24793b59211fa""]"	work-r3v-native-object-c-r3v-destroyquerypool-vkdevice-device-vkquerypool-poo-5750f88c4dc1	compare-the-review-claim-with-the-single-later-commit
20	review-one-change-commit-ebc8348c2ec8951c28056c17b036a365856cd12a-5c3ff362e1e0	one-change-commit	2	2	1	1	2026-08-23T22:32:51Z	2026-08-23T22:32:51Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""ebc8348c2ec8951c28056c17b036a365856cd12a""]"	work-r3v-native-advertised-surface-audit-py-original-line-88-8875412fb5af	compare-the-review-claim-with-the-single-later-commit
21	review-one-change-commit-e68f40792d4bbdcc1961cae439a8b0264c25c9ce-8f779d4e51cc	one-change-commit	10	10	2	2	2026-08-24T15:47:19Z	2026-08-24T15:52:22Z	"[""documentation-symbol-and-link-check"",""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""e68f40792d4bbdcc1961cae439a8b0264c25c9ce""]"	work-r3v-vulkan-memory-model-over-radeon-drm-md-original-line-2290898a0779	compare-the-review-claim-with-the-single-later-commit
22	review-one-change-commit-8afa214faa11235fb25f8de610ed3b36d32b1d43-7a67c5e7a958	one-change-commit	1	1	1	1	2026-08-24T15:56:46Z	2026-08-24T15:56:46Z	"[""schema-generator-and-mutation-check""]"	"[""changed-since-review""]"	"[""8afa214faa11235fb25f8de610ed3b36d32b1d43""]"	work-r3v-kernel-memory-contract-pins-tsv-original-line-10-dfc01d1e71ea	compare-the-review-claim-with-the-single-later-commit
23	review-one-change-commit-3450bcf6d364f071752cd74e49fbb6c29144a3d5-9e23cb156105	one-change-commit	8	8	1	1	2026-08-24T20:20:06Z	2026-08-24T20:20:07Z	"[""documentation-symbol-and-link-check""]"	"[""changed-since-review""]"	"[""3450bcf6d364f071752cd74e49fbb6c29144a3d5""]"	work-rs482-composed-surface-campaign-md-original-line-121-49413c777376	compare-the-review-claim-with-the-single-later-commit
24	review-one-change-commit-4653e691f1692ad7c7e37835316e6cf7d82fc7bc-456baa5c10ae	one-change-commit	3	3	1	1	2026-08-24T22:25:29Z	2026-08-24T22:54:13Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""4653e691f1692ad7c7e37835316e6cf7d82fc7bc""]"	work-r3v-deqp-provision-py-original-line-248-26cd482aca03	compare-the-review-claim-with-the-single-later-commit
25	review-one-change-commit-baf48620c79c19566965936e10cb66c5c1419cf5-9adbad1b8419	one-change-commit	3	3	1	1	2026-08-24T22:49:31Z	2026-08-24T22:59:18Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""baf48620c79c19566965936e10cb66c5c1419cf5""]"	work-r3v-native-plan-tool-c-original-line-159-58fd0e8c71d0	compare-the-review-claim-with-the-single-later-commit
26	review-one-change-commit-7f7feec24572361f74134376433c0ba63f6219c2-e6a6db55f323	one-change-commit	1	1	1	1	2026-08-24T23:05:34Z	2026-08-24T23:05:34Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""7f7feec24572361f74134376433c0ba63f6219c2""]"	work-r3v-native-queue-claim-report-c-original-line-41-ee265c7456b9	compare-the-review-claim-with-the-single-later-commit
27	review-one-change-commit-1f91536e6394b52f3969336a0b585106c3b6e5f9-e9a3e8426136	one-change-commit	1	2	1	2	2026-08-24T23:27:29Z	2026-08-24T23:32:21Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""1f91536e6394b52f3969336a0b585106c3b6e5f9""]"	work-r3v-conformance-partition-py-def-verify-manifest-path-f96dbd258557	compare-the-review-claim-with-the-single-later-commit
28	review-one-change-commit-4b11002d5b38f01f6477a2878352caea8cd28ac7-f9a6e63d1a55	one-change-commit	3	3	1	1	2026-08-24T23:32:11Z	2026-08-24T23:32:11Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""4b11002d5b38f01f6477a2878352caea8cd28ac7""]"	work-r3v-cs-ioctl-trace-py-original-line-215-9da48a767794	compare-the-review-claim-with-the-single-later-commit
29	review-one-change-commit-26b04af5186ffa9c81c9f86ea67d56a9b2ee9baf-f5729268d477	one-change-commit	1	2	1	1	2026-08-24T23:51:16Z	2026-08-24T23:58:32Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""26b04af5186ffa9c81c9f86ea67d56a9b2ee9baf""]"	work-r3v-native-plan-replay-c-original-line-173-03437ad4361f	compare-the-review-claim-with-the-single-later-commit
30	review-one-change-commit-59b77649a80ee880f84ba6a5301467c8cc2c0438-396d38d38c9e	one-change-commit	1	1	1	1	2026-08-25T05:19:08Z	2026-08-25T05:19:08Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""59b77649a80ee880f84ba6a5301467c8cc2c0438""]"	work-r3v-native-plan-compose-shard-py-original-line-160-77fe4067abcc	compare-the-review-claim-with-the-single-later-commit
31	review-one-change-commit-710d7e3c12b5e6eecd6a9356de5295618b201d1d-b862ffc35eff	one-change-commit	1	1	1	1	2026-08-25T13:28:38Z	2026-08-25T13:28:38Z	"[""python-test-black-and-ruff""]"	"[""changed-since-review""]"	"[""710d7e3c12b5e6eecd6a9356de5295618b201d1d""]"	work-r3v-wsi-init-comment-parity-audit-py-original-line-79-98b239906a2b	compare-the-review-claim-with-the-single-later-commit
32	review-one-change-commit-cebc5f008a2b1f33922597891892bb48205e557f-e40ee29b75bf	one-change-commit	1	1	1	1	2026-08-25T13:46:48Z	2026-08-25T13:46:48Z	"[""documentation-symbol-and-link-check""]"	"[""changed-since-review""]"	"[""cebc5f008a2b1f33922597891892bb48205e557f""]"	work-r3v-wsi-denominator-md-alone-would-not-open-slice-18-37139362050a	compare-the-review-claim-with-the-single-later-commit
33	review-one-change-commit-7d380acb9b92d0de445217a4c35eb53cccc03901-476ba94c2f76	one-change-commit	1	1	1	1	2026-08-25T16:41:43Z	2026-08-25T16:41:43Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""changed-since-review""]"	"[""7d380acb9b92d0de445217a4c35eb53cccc03901""]"	work-r3v-native-render-shape-args-h-original-line-72-de3bcb6b478a	compare-the-review-claim-with-the-single-later-commit
34	review-one-change-commit-5553f18dd493d70594299d8b24ab9d151f1bd863-0505ae09d5d6	one-change-commit	4	4	2	1	2026-08-26T20:38:28Z	2026-08-26T20:38:28Z	"[""python-test-black-and-ruff"",""schema-generator-and-mutation-check""]"	"[""changed-since-review""]"	"[""5553f18dd493d70594299d8b24ab9d151f1bd863""]"	work-assessments-tsv-original-line-2-40313d1487ef	compare-the-review-claim-with-the-single-later-commit
35	review-unchanged-source-src-amd-r300-vulkan-tests-run-under-xvfb-eacebec67387	unchanged-source	2	2	1	1	2026-08-12T03:44:34Z	2026-08-12T03:44:34Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-run-under-xvfb-sh-cleanup-dir-e982551a07c5	compare-each-review-claim-with-current-source
36	review-unchanged-source-src-gallium-drivers-r300-r300-state-inlines-h-a631c6c431b6	unchanged-source	1	1	1	1	2026-08-12T10:31:51Z	2026-08-12T10:31:51Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-state-inlines-h-r300-blend-factor-for-target-enum-edee58be3c28	compare-each-review-claim-with-current-source
37	review-unchanged-source-src-amd-r300-vulkan-r3v-memory-properties-contract-e495b8eca7ed	unchanged-source	3	3	1	1	2026-08-14T02:00:06Z	2026-08-14T02:00:06Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-memory-properties-contract-h-original-line-102-4da9a63a7d1e	compare-each-review-claim-with-current-source
38	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-producer-3809a0657df1	unchanged-source	6	6	1	1	2026-08-14T02:23:42Z	2026-08-14T02:23:43Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-producer-cell-harness-c-original-line-193-3a7b2ba42b7b	compare-each-review-claim-with-current-source
39	review-unchanged-source-src-amd-drm-shim-tests-radeon-noop-drm-8771deff2cca	unchanged-source	2	2	1	1	2026-08-14T03:37:01Z	2026-08-14T03:37:01Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-radeon-noop-drm-shim-residue-check-selftest-py-original-line-6ce9526488d6	compare-each-review-claim-with-current-source
40	review-unchanged-source-src-amd-drm-shim-tests-radeon-noop-drm-cf01425c6b84	unchanged-source	1	1	1	1	2026-08-14T03:37:01Z	2026-08-14T03:37:01Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-radeon-noop-drm-shim-residue-check-py-original-line-37-cd8d22bf43df	compare-each-review-claim-with-current-source
41	review-unchanged-source-src-amd-r300-common-tests-run-r2vb-reingest-242a68277c84	unchanged-source	1	1	1	1	2026-08-14T14:16:04Z	2026-08-14T14:16:04Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-run-r2vb-reingest-replay-sh-original-line-49-c06a8f960330	compare-each-review-claim-with-current-source
42	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-reingest-918f86337ca8	unchanged-source	1	1	1	1	2026-08-14T14:16:04Z	2026-08-14T14:16:04Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-reingest-arming-runner-check-py-original-line-82-bb6c9241aa72	compare-each-review-claim-with-current-source
43	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-attended-cea55a3d47eb	unchanged-source	1	1	1	1	2026-08-14T19:25:24Z	2026-08-14T19:25:24Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-attended-reingest-c-main-int-argc-char-argv-83f7735b3455	compare-each-review-claim-with-current-source
44	review-unchanged-source-src-amd-r300-common-tests-run-r2vb-float2-09305a6c480f	unchanged-source	1	1	1	1	2026-08-15T01:01:52Z	2026-08-15T01:01:52Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-run-r2vb-float2-tuple-replay-sh-original-line-53-896422cadf63	compare-each-review-claim-with-current-source
45	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-attended-9cc9f47c24a0	unchanged-source	2	2	1	1	2026-08-15T03:18:58Z	2026-08-15T03:18:58Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-attended-float2-tuple-c-original-line-2-a73dd8e05433	compare-each-review-claim-with-current-source
46	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-float2-91a933fad640	unchanged-source	1	1	1	1	2026-08-15T03:18:58Z	2026-08-15T03:18:58Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-float2-tuple-arming-runner-check-py-original-line-a97abc06db8a	compare-each-review-claim-with-current-source
47	review-unchanged-source-src-amd-r300-common-r300-r2vb-fetch-pass-5085062fbe3e	unchanged-source	1	1	1	1	2026-08-16T01:30:51Z	2026-08-16T01:30:51Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-r2vb-fetch-pass-c-original-line-52-4e6657b531ac	compare-each-review-claim-with-current-source
48	review-unchanged-source-src-amd-r300-common-r300-r2vb-target-state-7ed10c4951d5	unchanged-source	1	1	1	1	2026-08-16T01:35:54Z	2026-08-16T01:35:54Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-r2vb-target-state-c-original-line-14-b8fea61266c7	compare-each-review-claim-with-current-source
49	review-unchanged-source-src-amd-r300-common-r300-pm4-compose-c-d6416d007c39	unchanged-source	3	3	1	1	2026-08-16T01:39:45Z	2026-08-16T01:39:45Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-pm4-compose-c-original-line-45-23691b3cb161	compare-each-review-claim-with-current-source
50	review-unchanged-source-src-amd-r300-common-r300-pm4-compose-h-6d4d797decee	unchanged-source	1	1	1	1	2026-08-16T01:39:45Z	2026-08-16T01:39:45Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-pm4-compose-h-original-line-37-c0b032443e4c	compare-each-review-claim-with-current-source
51	review-unchanged-source-docs-hardware-r3v-native-attended-float2-tuple-procedur-e8f2de1e8ab7	unchanged-source	1	1	1	1	2026-08-16T03:13:19Z	2026-08-16T03:13:19Z	"[""documentation-symbol-and-link-check""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-attended-float2-tuple-procedure-md-producer-cell-host-00f279c830ed	compare-each-review-claim-with-current-source
52	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-serial-ce37f40ab27f	unchanged-source	1	1	1	1	2026-08-17T02:35:30Z	2026-08-17T02:35:30Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-serial-cell-harness-c-original-line-127-041f3de92859	compare-each-review-claim-with-current-source
53	review-unchanged-source-src-amd-r300-compiler-r300-r2vb-nir-c-5d2583f01fd4	unchanged-source	1	1	1	1	2026-08-19T01:40:42Z	2026-08-19T01:40:42Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-r2vb-nir-c-original-line-186-2ed3671830cd	compare-each-review-claim-with-current-source
54	review-unchanged-source-src-amd-r300-common-r300-pm4-builder-c-2314ca76bc18	unchanged-source	1	1	1	1	2026-08-19T02:04:19Z	2026-08-19T02:04:19Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-pm4-builder-c-r300-pm4-emit-vertex-index-range-a7bc10050f7d	compare-each-review-claim-with-current-source
55	review-unchanged-source-src-amd-r300-common-r300-r2vb-float2-tuple-c33bf22b366a	unchanged-source	1	1	1	1	2026-08-19T17:31:25Z	2026-08-19T17:31:25Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-r2vb-float2-tuple-pass-c-static-const-uint32-t-722f21945261	compare-each-review-claim-with-current-source
56	review-unchanged-source-src-amd-r300-common-tests-run-r2vb-float2-5f6a49520f60	unchanged-source	1	1	1	1	2026-08-19T17:31:25Z	2026-08-19T17:31:25Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-run-r2vb-float2-tuple-burst-replay-sh-bundle-bd82899929f0	compare-each-review-claim-with-current-source
57	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-public-8229ac46c068	unchanged-source	1	1	1	1	2026-08-20T03:56:22Z	2026-08-20T03:56:22Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-public-gpu-producer-arming-runner-check-py-original-3b3b94ad9cd0	compare-each-review-claim-with-current-source
58	review-unchanged-source-docs-hardware-r3v-native-attended-public-gpu-producer-85facfda70e9	unchanged-source	1	1	1	1	2026-08-20T04:12:52Z	2026-08-20T04:12:52Z	"[""documentation-symbol-and-link-check""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-attended-public-gpu-producer-procedure-md-this-document-6cca234cd89c	compare-each-review-claim-with-current-source
59	review-unchanged-source-src-amd-r300-common-r300-zb-depth-control-ffc3d99e3432	unchanged-source	1	1	1	1	2026-08-20T21:49:44Z	2026-08-20T21:49:44Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-zb-depth-control-cell-h-original-line-103-2bdd7fa80890	compare-each-review-claim-with-current-source
60	review-unchanged-source-src-amd-r300-common-tests-run-zb-depth-4f94a9d084df	unchanged-source	1	1	1	1	2026-08-20T21:49:44Z	2026-08-20T21:49:44Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-run-zb-depth-control-replay-sh-original-line-68-79ff64cf2289	compare-each-review-claim-with-current-source
61	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-attended-0aad025cf130	unchanged-source	3	3	1	1	2026-08-20T21:49:44Z	2026-08-20T21:49:44Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-attended-zb-depth-control-c-original-line-12-7ad42ef8f055	compare-each-review-claim-with-current-source
62	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-zb-2638ac1389f7	unchanged-source	2	2	1	1	2026-08-20T21:49:44Z	2026-08-20T21:49:44Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-zb-depth-control-harness-c-original-line-195-b9bf1276c6ed	compare-each-review-claim-with-current-source
63	review-unchanged-source-src-vulkan-util-vk-physical-device-features-gen-54545c15ccd6	unchanged-source	1	3	1	1	2026-08-21T22:14:02Z	2026-08-21T22:16:58Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-vk-physical-device-features-gen-py-def-condition-self-physical-ce2951e59c7b	compare-each-review-claim-with-current-source
64	review-unchanged-source-src-amd-r300-vulkan-tests-r3v-native-burst-93a9479fb394	unchanged-source	1	1	1	1	2026-08-22T21:08:55Z	2026-08-22T21:08:55Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r3v-native-burst-cell-harness-c-struct-burst-leg-0708f4f187e0	compare-each-review-claim-with-current-source
65	review-unchanged-source-src-gallium-drivers-r300-tests-r300-typed-carry-94b6834de12b	unchanged-source	2	2	1	1	2026-08-22T21:40:49Z	2026-08-22T21:40:49Z	"[""python-test-black-and-ruff""]"	"[""unchanged-since-review""]"	[]	work-r300-typed-carry-reference-check-py-original-line-78-38c20705741e	compare-each-review-claim-with-current-source
66	review-unchanged-source-src-gallium-drivers-r300-tests-typed-carry-corpus-825ca67e5530	unchanged-source	1	1	1	1	2026-08-22T21:40:49Z	2026-08-22T21:40:49Z	"[""repository-native-focused-check""]"	"[""unchanged-since-review""]"	[]	work-r300-typed-carry-reference-sha256-original-line-7-b412b6377dd1	compare-each-review-claim-with-current-source
67	review-unchanged-source-build-infra-packaging-mesa-mesa-profile-sh-321401406b80	unchanged-source	1	1	1	1	2026-08-22T22:12:37Z	2026-08-22T22:12:37Z	"[""shellcheck-and-script-test""]"	"[""unchanged-since-review""]"	[]	work-mesa-profile-sh-original-line-4-3b40fa3bf7e7	compare-each-review-claim-with-current-source
68	review-unchanged-source-src-amd-r300-cpu-r300-cpu-vertex-c-1c70f8a4cbde	unchanged-source	1	1	1	1	2026-08-22T23:16:45Z	2026-08-22T23:16:45Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-cpu-vertex-c-r300-cpu-vertex-gather-baseline-ba812ac4b422	compare-each-review-claim-with-current-source
69	review-unchanged-source-src-amd-r300-common-tests-r300-fetched-route-d0af12e2c6cc	unchanged-source	1	1	1	1	2026-08-23T06:13:41Z	2026-08-23T06:13:41Z	"[""warning-clean-driver-build-and-focused-test""]"	"[""unchanged-since-review""]"	[]	work-r300-fetched-route-digests-h-original-line-11-46dc65000f0e	compare-each-review-claim-with-current-source
