thread_id	disposition	evidence_commit	evidence_pr	merged_at	github_resolved_at	post_resolution_verified_at	closure_note
PRRT_kwDOR3YK5M6VAnci	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:29Z	2026-08-27T10:00:29Z	rs482-stack-build-id-nonempty
PRRT_kwDOR3YK5M6VAnck	fixed	82b7f3491b25b02063d31952b566c873ca5b2d8e	1905	2026-08-27T04:09:24Z	2026-08-27T16:12:22Z	2026-08-27T16:12:22Z	rs482-schema-verifier-dependency
PRRT_kwDOR3YK5M6VAncm	fixed	82b7f3491b25b02063d31952b566c873ca5b2d8e	1905	2026-08-27T04:09:24Z	2026-08-27T16:12:23Z	2026-08-27T16:12:23Z	rs482-manifest-digest-exact-length
PRRT_kwDOR3YK5M6VIJld	fixed	3980f87045a5a6cbb856b9f299cb52eaf8b29415	1906	2026-08-27T04:34:15Z	2026-08-27T16:19:56Z	2026-08-27T16:19:57Z	mount-calibration-tmpdir-root
PRRT_kwDOR3YK5M6VINuf	fixed	59593fda660a7603789c895c479c2bb38d5140fa	1918	2026-08-27T10:15:22Z	2026-08-27T10:16:32Z	2026-08-27T10:16:32Z	source-view-bare-repository-root-uid-isolation
PRRT_kwDOR3YK5M6VINun	fixed	59593fda660a7603789c895c479c2bb38d5140fa	1918	2026-08-27T10:15:22Z	2026-08-27T16:19:57Z	2026-08-27T16:19:58Z	source-view-clean-filter-isolation
PRRT_kwDOR3YK5M6VINus	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:31Z	2026-08-27T10:00:31Z	source-view-meson-wrap-finalization
PRRT_kwDOR3YK5M6Vtysx	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58	1908	2026-08-27T04:50:07Z	2026-08-27T16:53:51Z	2026-08-27T16:53:51Z	draw-nir-decline-reason-null-safety
PRRT_kwDOR3YK5M6Vty4O	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:33Z	2026-08-27T10:00:33Z	agents-canonical-loader-symlink
PRRT_kwDOR3YK5M6Vt1sV	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58	1908	2026-08-27T04:50:07Z	2026-08-27T16:53:52Z	2026-08-27T16:53:52Z	draw-option-cache-thread-safety
PRRT_kwDOR3YK5M6Vt1sX	fixed	e7656d6bf70d3492a70200cbfb97f8fb646b7c58	1908	2026-08-27T04:50:07Z	2026-08-27T16:53:53Z	2026-08-27T16:53:54Z	draw-exec-control-path-discovery-provenance
PRRT_kwDOR3YK5M6VuCy0	fixed	59593fda660a7603789c895c479c2bb38d5140fa	1918	2026-08-27T10:15:22Z	2026-08-27T10:16:33Z	2026-08-27T10:16:33Z	source-view-test-root-uid-isolation
PRRT_kwDOR3YK5M6VuETV	fixed	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:35Z	2026-08-27T10:00:35Z	drm-shim-state-token-registration-identity
PRRT_kwDOR3YK5M6VuETX	fixed	400df9e74aeacc6917410a887a3bf33bf5fda167	1912	2026-08-27T08:31:24Z	2026-08-27T09:49:04Z	2026-08-27T09:49:04Z	drm-shim-raw-alias-backing-identity-fallback
PRRT_kwDOR3YK5M6VuETZ	fixed	4b0c1f55abd1c9d84022973e14fd40d639426ec9	1900	2026-08-27T02:06:42Z	2026-08-27T09:49:12Z	2026-08-27T09:49:12Z	drm-shim-preload-test-spdx-only-header
PRRT_kwDOR3YK5M6VuETa	fixed	05023afc27fcc9fb0637ecacfa425d9fc4263a81	1913	2026-08-27T09:04:16Z	2026-08-27T09:49:20Z	2026-08-27T09:49:21Z	drm-shim-large-lock-type-normalization
PRRT_kwDOR3YK5M6Vut2P	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc	1920	2026-08-27T15:06:28Z	2026-08-27T15:08:54Z	2026-08-27T15:08:55Z	vl-mpeg12-dump-run-namespace
PRRT_kwDOR3YK5M6Vut2R	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc	1920	2026-08-27T15:06:28Z	2026-08-27T15:08:56Z	2026-08-27T15:08:56Z	vl-mpeg12-dump-atomic-write-verdict
PRRT_kwDOR3YK5M6Vut2S	fixed	2721b9314aed7d55615d5fbf4f8247b4d0fe84fc	1920	2026-08-27T15:06:28Z	2026-08-27T15:08:58Z	2026-08-27T15:08:58Z	vl-mpeg12-dump-calibration
PRRT_kwDOR3YK5M6V3PUs	superseded	a2bfd6032c81faa75994dfd4f57b279200a0776f	1916	2026-08-27T09:58:33Z	2026-08-27T10:00:36Z	2026-08-27T10:00:37Z	new-source-spdx-only-policy
PRRT_kwDOR3YK5M6V3PUx	fixed	60c34e778d475469fae20e0714de79464bc42136	1929	2026-08-27T16:38:38Z	2026-08-27T16:53:55Z	2026-08-27T16:53:55Z	draw-nir-scan-discovery-provenance
PRRT_kwDOR3YK5M6V3PUz	fixed	60c34e778d475469fae20e0714de79464bc42136	1929	2026-08-27T16:38:38Z	2026-08-27T16:53:56Z	2026-08-27T16:53:57Z	draw-texcoord-semantic-comment
