"thread_id"	"thread_created_at"	"review_url"	"review_path"	"original_line"	"claim_heading"	"status_at_capture"	"falsifier"
"PRRT_kwDOR3YK5M6X3lYa"	"2026-08-10T12:33:42Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1306#discussion_r3749492959"	"src/amd/terascale/vulkan/tests/terakan_softfp64_lifetime_contract_test.py"	"65"	"reject exits that precede the expected goto"	"repair-required"	"A calibrated early-return mutant is rejected."
"PRRT_kwDOR3YK5M6Yb3vf"	"2026-08-12T02:30:07Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1395#discussion_r3763174319"	"src/gallium/drivers/r300/r300_r2vb.c"	"3933"	"add symbol discovery provenance to the psc claim"	"unassessed"	""
"PRRT_kwDOR3YK5M6YcP8D"	"2026-08-12T03:10:44Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1399#discussion_r3763320185"	"src/amd/r300/vulkan/tests/r3v_native_loader_sweep.c"	"84"	"retry waitpid when a signal interrupts the wait"	"unassessed"	""
"PRRT_kwDOR3YK5M6YckKP"	"2026-08-12T03:44:34Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1403#discussion_r3763442732"	"src/amd/r300/vulkan/tests/run_under_xvfb.sh"	"71"	"terminate the wrapped command s descendants"	"repair-required"	"A calibrated wrapped process tree exits without leaving any descendant alive."
"PRRT_kwDOR3YK5M6YckKT"	"2026-08-12T03:44:34Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1403#discussion_r3763442736"	"src/amd/r300/vulkan/tests/run_under_xvfb.sh"	"172"	"preserve stdin when backgrounding the command"	"repair-required"	"A piped-input calibration reaches the wrapped background command unchanged."
"PRRT_kwDOR3YK5M6YcmNY"	"2026-08-12T03:47:23Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1404#discussion_r3763454902"	"src/amd/r300/vulkan/tests/r3v_native_entrypoint_audit.py"	"546"	"track the pointer that guards each optional call"	"unassessed"	""
"PRRT_kwDOR3YK5M6YcmNc"	"2026-08-12T03:47:23Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1404#discussion_r3763454907"	"src/amd/r300/vulkan/meson.build"	"524"	"calibrate the extra slot failure in isolation"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yc3Z1"	"2026-08-12T04:16:40Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1407#discussion_r3763557278"	"src/amd/r300/vulkan/r3v_native_cell.c"	"88"	"detect aliases of the same gem bo across separate mappings"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yc3Z4"	"2026-08-12T04:16:40Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1407#discussion_r3763557282"	"src/amd/r300/vulkan/r3v_native_cell.c"	"503"	"remove the internal source path from the comment"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yc3Z7"	"2026-08-12T04:16:40Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1407#discussion_r3763557286"	"src/amd/r300/vulkan/tests/r3v_native_vertex_carrier_harness.c"	"209"	"bind the byte fixture to the canonical triangle oracle"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yc3Z9"	"2026-08-12T04:16:40Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1407#discussion_r3763557288"	"src/amd/r300/vulkan/tests/r3v_native_vertex_carrier_harness.c"	"193"	"attach a discovery source to the vap byte order claim"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yc3Z_"	"2026-08-12T04:16:40Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1407#discussion_r3763557291"	"src/amd/r300/vulkan/tests/r3v_native_vertex_carrier_harness.c"	"303"	"state the alias test as a present tense mechanism"	"unassessed"	""
"PRRT_kwDOR3YK5M6YiPRn"	"2026-08-12T10:35:17Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1478#discussion_r3765620587"	"src/amd/r300/vulkan/tests/r3v_native_arming_test.c"	"148"	"reserve space for the attempt token suffix"	"unassessed"	""
"PRRT_kwDOR3YK5M6YiliQ"	"2026-08-12T10:56:28Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1486#discussion_r3765752512"	"docs/hardware/r3v-native-attended-cell-procedure.md"	"107"	"point the variable at the tcl bypass replay tool"	"unassessed"	""
"PRRT_kwDOR3YK5M6Yimy3"	"2026-08-12T10:57:33Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1487#discussion_r3765760103"	"src/gallium/drivers/r300/r300_reg.h"	"3538"	"replace the survey name with the measured register property"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZICHm"	"2026-08-14T00:33:46Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1589#discussion_r3780127145"	"src/amd/r300/vulkan/tests/r3v_source_header_audit.py"	"43"	"scope the upstream holder exception to r300 reg h"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIGc_"	"2026-08-14T00:41:12Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1590#discussion_r3780153392"	"src/amd/r300/common/r300_delivery_route.h"	"34"	"ground the position space contract in a named source"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIX10"	"2026-08-14T01:05:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1591#discussion_r3780263174"	"src/amd/r300/common/tests/r300_r2vb_producer_manifest_check.py"	"331"	"validate the exact compiled us block"	"repair-required"	"Payload-corruption and out-of-range poison mutants are both rejected."
"PRRT_kwDOR3YK5M6ZIX14"	"2026-08-14T01:05:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1591#discussion_r3780263179"	"src/amd/r300/common/r300_r2vb_producer_manifest.c"	"112"	"replay the generated 64 byte carrier allocation"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIX2A"	"2026-08-14T01:05:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1591#discussion_r3780263188"	"src/amd/r300/common/r300_r2vb_producer_pass.c"	"392"	"reject fragment binaries that are not the passthrough"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIX2C"	"2026-08-14T01:05:15Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1591#discussion_r3780263193"	"src/amd/r300/common/tests/r300_r2vb_producer_manifest_check.py"	"270"	"bound the poison value to one dword"	"repair-required"	"Payload-corruption and out-of-range poison mutants are both rejected."
"PRRT_kwDOR3YK5M6ZIj8E"	"2026-08-14T01:24:56Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1593#discussion_r3780334732"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"53"	"preserve partial poison as an unwritten outcome"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIj8I"	"2026-08-14T01:24:56Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1593#discussion_r3780334737"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"38"	"replay the exact producer submit object"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIj8L"	"2026-08-14T01:24:56Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1593#discussion_r3780334744"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"56"	"describe the tail as in row padding"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIj8P"	"2026-08-14T01:24:56Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1593#discussion_r3780334748"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"67"	"keep parser acceptance out of transport evidence"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIlCB"	"2026-08-14T01:26:49Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1592#discussion_r3780341259"	"src/amd/r300/vulkan/tests/r3v_native_attended_producer.c"	"365"	"classify non poison carrier mismatches separately"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIlCE"	"2026-08-14T01:26:49Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1592#discussion_r3780341263"	"src/amd/r300/vulkan/tests/r3v_native_attended_producer.c"	"2"	"add real copyright lines to the new source files"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIlCG"	"2026-08-14T01:26:49Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1592#discussion_r3780341265"	"src/amd/r300/vulkan/tests/r3v_native_attended_producer.c"	"324"	"preflight runner artifacts before the one shot submit"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIlCJ"	"2026-08-14T01:26:49Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1592#discussion_r3780341270"	"src/amd/r300/vulkan/r3v_native_cell.c"	"785"	"update the implementation boundary for live r2vb delivery"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZIlCL"	"2026-08-14T01:26:49Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1592#discussion_r3780341273"	"src/amd/r300/vulkan/meson.build"	"726"	"add the producer hardware authorization procedure"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZI5HF"	"2026-08-14T02:00:06Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1594#discussion_r3780463326"	"src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c"	"10"	"keep contract checks live in release builds"	"fixed-on-main"	"A release build removes the assertions or the known-bad table passes."
"PRRT_kwDOR3YK5M6ZI5HJ"	"2026-08-14T02:00:06Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1594#discussion_r3780463335"	"src/amd/r300/vulkan/r3v_memory_properties_contract.h"	"2"	"add a real copyright line to the new contract header"	"superseded-on-main"	"A verified legal holder requires attribution in this file under the current policy."
"PRRT_kwDOR3YK5M6ZI5HM"	"2026-08-14T02:00:06Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1594#discussion_r3780463340"	"src/amd/r300/vulkan/tests/r3v_memory_properties_contract_test.c"	"2"	"add a real copyright line to the new contract test"	"superseded-on-main"	"A verified legal holder requires attribution in this file under the current policy."
"PRRT_kwDOR3YK5M6ZI5HP"	"2026-08-14T02:00:06Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1594#discussion_r3780463345"	"src/amd/r300/vulkan/r3v_memory_properties_contract.h"	"28"	"ground the enforced rs48x ceiling in a primary source"	"repair-required"	"A rank-1-through-4 source proves the ceiling for every admitted device or the limit is derived from probed data."
"PRRT_kwDOR3YK5M6ZI5HR"	"2026-08-14T02:00:06Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1594#discussion_r3780463348"	"src/amd/r300/vulkan/r3v_memory_properties_contract.h"	"102"	"add discovery locations for the memory contract claims"	"repair-required"	"Every mechanism claim names its owning symbol, source location, and discovery command."
"PRRT_kwDOR3YK5M6ZI7ua"	"2026-08-14T02:03:25Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1595#discussion_r3780478630"	"src/amd/drm-shim/radeon_noop_drm_shim.c"	"4308"	"avoid requiring o tmpfile support from tmp"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZJDFI"	"2026-08-14T02:15:30Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1596#discussion_r3780523629"	"src/amd/drm-shim/meson.build"	"166"	"add symbol discovery provenance to the fd alias claim"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZJHqE"	"2026-08-14T02:23:42Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551556"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"2"	"add a real copyright line to the new header"	"superseded-on-main"	"A verified legal holder requires attribution in this file under the current policy."
"PRRT_kwDOR3YK5M6ZJHqJ"	"2026-08-14T02:23:42Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551562"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"561"	"guard the retained ib comparison by its expected length"	"repair-required"	"An oversized retained IB reports a length failure without reading beyond the reference buffer."
"PRRT_kwDOR3YK5M6ZJHqM"	"2026-08-14T02:23:42Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551565"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"193"	"reject manifest roots that overflow evidence paths"	"repair-required"	"A long-root calibration is rejected before any evidence artifact path can overflow."
"PRRT_kwDOR3YK5M6ZJHqN"	"2026-08-14T02:23:43Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551566"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"334"	"stop after an oversized carrier allocation failure"	"repair-required"	"A forced allocation failure reaches cleanup without installing or dereferencing the carrier memory."
"PRRT_kwDOR3YK5M6ZJHqP"	"2026-08-14T02:23:43Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551571"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"175"	"clear inherited shim fault injection flags"	"repair-required"	"Both inherited fault flags are cleared and an open-mode calibration completes normally."
"PRRT_kwDOR3YK5M6ZJHqT"	"2026-08-14T02:23:43Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1597#discussion_r3780551576"	"src/amd/r300/vulkan/tests/r3v_native_producer_cell_harness.c"	"10"	"add discovery locations to the new mechanism claims"	"repair-required"	"Every load-bearing mechanism claim names its owning symbol and exact search command."
"PRRT_kwDOR3YK5M6ZJrla"	"2026-08-14T03:23:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1598#discussion_r3780768943"	"src/drm-shim/drm_shim.c"	"1721"	"classify the resolved namespace rather than the raw path"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZJrld"	"2026-08-14T03:23:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1598#discussion_r3780768948"	"src/drm-shim/drm_shim.c"	"4671"	"restrict eagain retries to scoped resolution races"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZJrlf"	"2026-08-14T03:23:09Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1598#discussion_r3780768950"	"src/drm-shim/drm_shim.c"	"2062"	"preserve passthrough when procfs cannot name the walk"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZJ2Bq"	"2026-08-14T03:37:01Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1599#discussion_r3780836184"	"src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check.py"	"37"	"parse the multiline identity diagnostic before normalizing"	"repair-required"	"A multiline identity mismatch retains both observed and expected identities through normalization."
"PRRT_kwDOR3YK5M6ZJ2Bv"	"2026-08-14T03:37:01Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1599#discussion_r3780836196"	"src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check_selftest.py"	"65"	"make the bad calibration distinguish the old checker"	"repair-required"	"The calibrated bad input passes the old checker and fails the corrected checker for the intended identity difference."
"PRRT_kwDOR3YK5M6ZJ2Bw"	"2026-08-14T03:37:01Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1599#discussion_r3780836204"	"src/amd/drm-shim/tests/radeon_noop_drm_shim_residue_check_selftest.py"	"57"	"keep calibration checks active under optimized python"	"repair-required"	"The self-test still rejects every bad arm when executed with PYTHONOPTIMIZE=1."
"PRRT_kwDOR3YK5M6ZMYw7"	"2026-08-14T07:09:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1601#discussion_r3781803980"	"src/amd/r300/vulkan/meson.build"	"1330"	"move the arming runner outside the drm shim guard"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZMYxA"	"2026-08-14T07:09:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1601#discussion_r3781803985"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py"	"38"	"calibrate the producer runner with an armed case"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZMYxC"	"2026-08-14T07:09:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1601#discussion_r3781803990"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner.c"	"2"	"add required copyright attribution to both new sources"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZMYxG"	"2026-08-14T07:09:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1601#discussion_r3781803994"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner.c"	"82"	"reject malformed pci identity overrides"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZMYxH"	"2026-08-14T07:09:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1601#discussion_r3781803997"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner.c"	"28"	"add symbol discovery provenance to the cross path claim"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTCO9"	"2026-08-14T13:57:31Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784301431"	"src/amd/r300/vulkan/r3v_native_cell.c"	"818"	"maintainability code quality minor quick win"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTCOk"	"2026-08-14T13:57:31Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784301399"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"104"	"maintainability code quality minor quick win"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTCPO"	"2026-08-14T13:57:31Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784301448"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py"	"152"	"functional correctness minor quick win"	"repair-required"	"A matching sweep digest arms the sweep and the sweep digest refuses the reference stream."
"PRRT_kwDOR3YK5M6ZTDHJ"	"2026-08-14T13:58:03Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784306276"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"99"	"mark the executed run as reference only"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTDHW"	"2026-08-14T13:58:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784306291"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"103"	"replace the host local evidence path with a durable locator"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTDHn"	"2026-08-14T13:58:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784306309"	"src/amd/r300/common/meson.build"	"100"	"validate the sweep manifest artifacts"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZTDHx"	"2026-08-14T13:58:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1602#discussion_r3784306320"	"src/amd/r300/vulkan/tests/r3v_native_producer_arming_runner_check.py"	"138"	"calibrate an armed sweep verdict"	"repair-required"	"A matching sweep digest arms the sweep and the sweep digest refuses the reference stream."
"PRRT_kwDOR3YK5M6ZTeB4"	"2026-08-14T14:16:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1603#discussion_r3784463868"	"src/amd/r300/common/tests/run_r2vb_reingest_replay.sh"	"49"	"validate the generated re ingest manifest contents"	"repair-required"	"Malformed digest, relocation, domain, and size metadata mutations are rejected."
"PRRT_kwDOR3YK5M6ZTeBt"	"2026-08-14T14:16:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1603#discussion_r3784463852"	"src/amd/r300/vulkan/tests/r3v_native_reingest_arming_runner_check.py"	"82"	"add a known good re ingest arming case"	"repair-required"	"A known-good matching-provider case returns ARMED before the bad mutations are applied."
"PRRT_kwDOR3YK5M6ZTeBy"	"2026-08-14T14:16:04Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1603#discussion_r3784463858"	"src/amd/r300/common/r300_r2vb_reingest_manifest.c"	"2"	"add real copyright lines to the new source headers"	"superseded-on-main"	"A verified legal holder requires attribution across the new source set under the current policy."
"PRRT_kwDOR3YK5M6ZZIY3"	"2026-08-14T19:25:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1605#discussion_r3786586404"	"src/amd/r300/vulkan/tests/r3v_native_attended_reingest.c"	"389"	"retain the poison count in re ingest outcomes"	"repair-required"	"The retained outcome records the poison count and a partial-write fixture remains independently classifiable."
"PRRT_kwDOR3YK5M6ZZIYq"	"2026-08-14T19:25:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1605#discussion_r3786586385"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"125"	"remove target local paths from checked in procedures"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZZIYz"	"2026-08-14T19:25:24Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1605#discussion_r3786586398"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"119"	"bound the known claim to the sampled fp24 values"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZZ5qL"	"2026-08-14T20:15:19Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1607#discussion_r3786886951"	"src/amd/r300/common/r300_r2vb_producer_pass.c"	"582"	"state the measured fp24 property without run chronology"	"unassessed"	""
"PRRT_kwDOR3YK5M6ZbztH"	"2026-08-14T22:46:33Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1608#discussion_r3787621785"	"src/amd/r300/common/r300_us_source_read.h"	"72"	"keep the r2vb ceiling out of the generic fp24 model"	"repair-required"	"A route-specific R2VB admission bound coexists with the production FP24 storage range."
"PRRT_kwDOR3YK5M6ZbztK"	"2026-08-14T22:46:33Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1608#discussion_r3787621789"	"docs/hardware/r3v-native-attended-producer-procedure.md"	"112"	"use the mesa ai disclosure trailer"	"superseded-on-main"	"The merged commit lacks a recognized disclosure trailer or the policy requires Generated-by for this contribution."
"PRRT_kwDOR3YK5M6Zc7p4"	"2026-08-15T01:01:52Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1609#discussion_r3788059294"	"src/amd/r300/common/r300_r2vb_float2_tuple_pass.c"	"1"	"add copyright lines to the new file headers"	"unassessed"	""
"PRRT_kwDOR3YK5M6Zc7p6"	"2026-08-15T01:01:52Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1609#discussion_r3788059296"	"src/amd/r300/common/tests/run_r2vb_float2_tuple_replay.sh"	"53"	"validate tuple artifacts before accepting replay"	"repair-required"	"Mutated vertex bytes, BO metadata, manifest fields, and expected carrier values are each rejected."
"PRRT_kwDOR3YK5M6Zc7p9"	"2026-08-15T01:01:52Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1609#discussion_r3788059298"	"src/amd/r300/common/r300_r2vb_float2_tuple_pass.c"	"323"	"reset the lower vertex index clamp"	"unassessed"	""
"PRRT_kwDOR3YK5M6Zdt0h"	"2026-08-15T03:18:58Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1610#discussion_r3788355048"	"src/amd/r300/vulkan/tests/r3v_native_float2_tuple_arming_runner_check.py"	"106"	"calibrate the runner with an armed input"	"repair-required"	"An exact digest, kernel release, and module srcversion case returns an armed verdict before mutation."
"PRRT_kwDOR3YK5M6Zdt0i"	"2026-08-15T03:18:58Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1610#discussion_r3788355049"	"src/amd/r300/vulkan/meson.build"	"1455"	"include the tuple tests in the qualification inventory"	"unassessed"	""
"PRRT_kwDOR3YK5M6Zdt0k"	"2026-08-15T03:18:58Z"	"https://github.com/Oichkatzelesfrettschen/mesa-26-gororoba/pull/1610#discussion_r3788355051"	"docs/hardware/r3v-native-attended-float2-tuple-procedure.md"	"25"	"replace the inherited triangle specific run steps"	"unassessed"	""
